gvkey,lpermno,lpermco,liid,linktype,linkprim,linkdt,linkenddt,cik,conm,identity_status,readable_language_filings_in_interval,first_archived_filing,last_archived_filing,cover_name_contexts,explicit_cik_review_count,audit_status
012825,10026,7976.0,1,LU,P,1986-02-04,,785956,J & J SNACK FOODS CORP,CURRENT_COMPANY_CIK_CANDIDATE_NOT_HISTORICALLY_VERIFIED,60,2010-01-21,2024-11-26,60,0,EVIDENCE_AVAILABLE_NOT_VERIFIED
001279,10137,20045.0,1,LU,P,1962-01-31,2011-02-28,3673,ALLEGHENY ENERGY INC,CURRENT_COMPANY_CIK_CANDIDATE_NOT_HISTORICALLY_VERIFIED,5,2010-03-01,2011-02-23,0,0,EVIDENCE_AVAILABLE_NOT_VERIFIED
012180,10143,8092.0,1,LC,P,1986-04-03,2010-06-08,729922,OSI PHARMACEUTICALS INC,CURRENT_COMPANY_CIK_CANDIDATE_NOT_HISTORICALLY_VERIFIED,2,2010-02-24,2010-05-06,2,0,EVIDENCE_AVAILABLE_NOT_VERIFIED
012589,10693,8596.0,1,LC,P,1986-09-24,,785161,ENCOMPASS HEALTH CORP,CURRENT_COMPANY_CIK_CANDIDATE_NOT_HISTORICALLY_VERIFIED,60,2010-02-23,2024-11-01,47,0,EVIDENCE_AVAILABLE_NOT_VERIFIED
013323,11343,9188.0,1,LU,P,1987-05-19,2022-07-29,812128,SANDERSON FARMS INC,CURRENT_COMPANY_CIK_CANDIDATE_NOT_HISTORICALLY_VERIFIED,50,2010-02-23,2022-05-27,50,0,EVIDENCE_AVAILABLE_NOT_VERIFIED
013431,11478,9309.0,1,LC,P,1987-07-01,2013-12-16,1705873,BERRY CORP,CURRENT_COMPANY_CIK_CANDIDATE_NOT_HISTORICALLY_VERIFIED,0,,,0,0,NO_READABLE_LANGUAGE_EVIDENCE
023002,11644,9465.0,2,LC,P,1987-08-28,2018-08-13,,COMSTOCK RESOURCES INC -OLD,CURRENT_COMPANY_CIK_CANDIDATE_NOT_HISTORICALLY_VERIFIED,0,,,0,0,NO_READABLE_LANGUAGE_EVIDENCE
034010,11644,9465.0,1,LC,P,2018-08-14,,23194,COMSTOCK RESOURCES INC,CURRENT_COMPANY_CIK_CANDIDATE_NOT_HISTORICALLY_VERIFIED,25,2018-11-09,2024-10-31,25,0,EVIDENCE_AVAILABLE_NOT_VERIFIED
014027,11809,9616.0,1,LU,P,1987-11-24,,822818,CLEAN HARBORS INC,CURRENT_COMPANY_CIK_CANDIDATE_NOT_HISTORICALLY_VERIFIED,60,2010-03-01,2024-10-30,43,0,EVIDENCE_AVAILABLE_NOT_VERIFIED
014418,11891,9764.0,1,LU,P,1988-05-02,,789570,MGM RESORTS INTERNATIONAL,CURRENT_COMPANY_CIK_CANDIDATE_NOT_HISTORICALLY_VERIFIED,60,2010-02-26,2024-10-30,42,0,EVIDENCE_AVAILABLE_NOT_VERIFIED
014623,12067,9903.0,1,LU,P,1988-08-11,,836106,NOVELLUS SYSTEMS INC,CURRENT_COMPANY_CIK_CANDIDATE_NOT_HISTORICALLY_VERIFIED,10,2010-02-24,2012-05-07,10,0,EVIDENCE_AVAILABLE_NOT_VERIFIED
006081,12503,21265.0,1,LC,P,1962-01-31,2007-02-13,808450,NAVISTAR INTERNATIONAL CORP,CURRENT_COMPANY_CIK_CANDIDATE_NOT_HISTORICALLY_VERIFIED,0,,,0,0,NO_READABLE_LANGUAGE_EVIDENCE
006081,12503,21265.0,1,LC,P,2008-06-30,2021-07-30,808450,NAVISTAR INTERNATIONAL CORP,CURRENT_COMPANY_CIK_CANDIDATE_NOT_HISTORICALLY_VERIFIED,46,2010-03-09,2021-06-08,38,0,EVIDENCE_AVAILABLE_NOT_VERIFIED
006335,12650,21033.0,1,LC,P,1963-01-31,2021-12-31,54480,KANSAS CITY SOUTHERN,CURRENT_COMPANY_CIK_CANDIDATE_NOT_HISTORICALLY_VERIFIED,48,2010-02-12,2021-10-19,39,0,EVIDENCE_AVAILABLE_NOT_VERIFIED
010156,14656,21686.0,1,LU,P,1962-01-31,,95304,SUNOCO INC,CURRENT_COMPANY_CIK_CANDIDATE_NOT_HISTORICALLY_VERIFIED,11,2010-02-24,2012-08-02,11,0,EVIDENCE_AVAILABLE_NOT_VERIFIED
010609,14816,21763.0,1,LC,P,1962-01-31,,98677,TOOTSIE ROLL INDUSTRIES INC,CURRENT_COMPANY_CIK_CANDIDATE_NOT_HISTORICALLY_VERIFIED,60,2010-03-01,2024-11-08,60,0,EVIDENCE_AVAILABLE_NOT_VERIFIED
010332,15560,21711.0,1,LU,P,1965-01-29,2015-10-08,96289,RS LEGACY CORP,CURRENT_COMPANY_CIK_CANDIDATE_NOT_HISTORICALLY_VERIFIED,20,2010-02-22,2014-12-11,20,0,EVIDENCE_AVAILABLE_NOT_VERIFIED
001860,15721,403.0,1,LC,P,1972-12-14,2017-10-05,8411,ATWOOD OCEANICS,CURRENT_COMPANY_CIK_CANDIDATE_NOT_HISTORICALLY_VERIFIED,31,2010-02-04,2017-08-03,31,0,EVIDENCE_AVAILABLE_NOT_VERIFIED
005234,16432,20834.0,1,LU,P,1962-01-31,,42582,GOODYEAR TIRE & RUBBER CO,CURRENT_COMPANY_CIK_CANDIDATE_NOT_HISTORICALLY_VERIFIED,60,2010-02-18,2024-11-05,38,0,EVIDENCE_AVAILABLE_NOT_VERIFIED
003619,17726,20537.0,1,LU,P,1962-01-31,,1219601,CROWN HOLDINGS INC,CURRENT_COMPANY_CIK_CANDIDATE_NOT_HISTORICALLY_VERIFIED,60,2010-03-01,2024-11-01,40,0,EVIDENCE_AVAILABLE_NOT_VERIFIED
010801,17929,21794.0,1,LU,P,1962-01-31,,884614,UGI CORP,CURRENT_COMPANY_CIK_CANDIDATE_NOT_HISTORICALLY_VERIFIED,60,2010-02-05,2024-11-26,38,0,EVIDENCE_AVAILABLE_NOT_VERIFIED
004510,19166,20681.0,1,LU,P,1962-01-31,,37785,FMC CORP,CURRENT_COMPANY_CIK_CANDIDATE_NOT_HISTORICALLY_VERIFIED,60,2010-02-22,2024-10-30,42,0,EVIDENCE_AVAILABLE_NOT_VERIFIED
137611,19675,37957.0,1,LC,P,2000-07-12,2018-05-31,1734107,SOHU COM LIMITED,CURRENT_COMPANY_CIK_CANDIDATE_NOT_HISTORICALLY_VERIFIED,0,,,0,0,NO_READABLE_LANGUAGE_EVIDENCE
003708,19828,20550.0,3,LC,P,2008-09-30,,30697,WENDY'S CO,CURRENT_COMPANY_CIK_CANDIDATE_NOT_HISTORICALLY_VERIFIED,60,2010-03-04,2024-10-31,41,0,EVIDENCE_AVAILABLE_NOT_VERIFIED
002255,20220,20306.0,1,LC,P,1962-01-31,2010-03-12,12355,BLACK & DECKER CORP,CURRENT_COMPANY_CIK_CANDIDATE_NOT_HISTORICALLY_VERIFIED,1,2010-02-19,2010-02-19,1,0,EVIDENCE_AVAILABLE_NOT_VERIFIED
001045,21020,20010.0,1,LC,P,1962-01-31,2012-01-04,6201,AMERICAN AIRLINES GROUP INC,CURRENT_COMPANY_CIK_CANDIDATE_NOT_HISTORICALLY_VERIFIED,8,2010-02-17,2011-10-19,8,0,EVIDENCE_AVAILABLE_NOT_VERIFIED
001045,21020,20010.0,4,LC,P,2013-12-09,,6201,AMERICAN AIRLINES GROUP INC,CURRENT_COMPANY_CIK_CANDIDATE_NOT_HISTORICALLY_VERIFIED,44,2014-02-28,2024-10-24,22,0,EVIDENCE_AVAILABLE_NOT_VERIFIED
011446,21186,21913.0,1,LC,P,1962-01-31,2015-07-01,1159297,MEADWESTVACO CORP,CURRENT_COMPANY_CIK_CANDIDATE_NOT_HISTORICALLY_VERIFIED,22,2010-02-23,2015-05-11,22,0,EVIDENCE_AVAILABLE_NOT_VERIFIED
029830,21186,21913.0,1,LC,P,2015-07-02,2024-07-31,1732845,WESTROCK CO,CURRENT_COMPANY_CIK_CANDIDATE_NOT_HISTORICALLY_VERIFIED,23,2018-11-16,2024-05-03,4,0,EVIDENCE_AVAILABLE_NOT_VERIFIED
011296,21231,21887.0,1,LU,P,1962-01-31,2018-07-06,1103601,WGL HOLDINGS INC,CURRENT_COMPANY_CIK_CANDIDATE_NOT_HISTORICALLY_VERIFIED,34,2010-02-05,2018-05-04,34,0,EVIDENCE_AVAILABLE_NOT_VERIFIED
005870,21928,20965.0,1,LU,P,1962-01-31,,1057877,IDACORP INC,CURRENT_COMPANY_CIK_CANDIDATE_NOT_HISTORICALLY_VERIFIED,60,2010-02-23,2024-10-31,55,0,EVIDENCE_AVAILABLE_NOT_VERIFIED
003814,22859,20549.0,1,LC,P,1962-01-31,2011-11-25,787250,DPL INC,CURRENT_COMPANY_CIK_CANDIDATE_NOT_HISTORICALLY_VERIFIED,8,2010-02-12,2011-10-27,0,0,EVIDENCE_AVAILABLE_NOT_VERIFIED
002950,22905,899.0,1,LC,P,1972-12-14,2010-03-10,19520,CHATTEM INC,CURRENT_COMPANY_CIK_CANDIDATE_NOT_HISTORICALLY_VERIFIED,1,2010-01-28,2010-01-28,0,0,EVIDENCE_AVAILABLE_NOT_VERIFIED
009445,23085,21570.0,1,LU,P,1962-01-31,2019-01-31,754737,SCANA CORP,CURRENT_COMPANY_CIK_CANDIDATE_NOT_HISTORICALLY_VERIFIED,36,2010-03-01,2018-11-05,0,0,EVIDENCE_AVAILABLE_NOT_VERIFIED
003439,23229,20361.0,1,LC,P,1987-05-27,,811156,CMS ENERGY CORP,CURRENT_COMPANY_CIK_CANDIDATE_NOT_HISTORICALLY_VERIFIED,60,2010-03-01,2024-10-31,0,0,EVIDENCE_AVAILABLE_NOT_VERIFIED
003026,23393,1103.0,1,LU,P,1976-12-30,,313927,CHURCH & DWIGHT INC,CURRENT_COMPANY_CIK_CANDIDATE_NOT_HISTORICALLY_VERIFIED,60,2010-02-24,2024-11-01,42,0,EVIDENCE_AVAILABLE_NOT_VERIFIED
008694,23501,21432.0,1,LC,P,1962-01-31,2016-03-23,1135971,PEPCO HOLDINGS INC,CURRENT_COMPANY_CIK_CANDIDATE_NOT_HISTORICALLY_VERIFIED,25,2010-02-26,2016-02-19,17,0,EVIDENCE_AVAILABLE_NOT_VERIFIED
003062,23660,6304.0,1,LC,P,1983-08-19,,723254,CINTAS CORP,CURRENT_COMPANY_CIK_CANDIDATE_NOT_HISTORICALLY_VERIFIED,60,2010-01-08,2024-10-04,52,0,EVIDENCE_AVAILABLE_NOT_VERIFIED
006867,23835,21132.0,1,LC,P,1962-01-31,,67716,MDU RESOURCES GROUP INC,CURRENT_COMPANY_CIK_CANDIDATE_NOT_HISTORICALLY_VERIFIED,60,2010-02-17,2024-11-07,31,0,EVIDENCE_AVAILABLE_NOT_VERIFIED
135484,23887,925.0,1,LC,P,2000-08-31,2020-04-23,20520,FRONTIER COMMUNIC PARENT INC,CURRENT_COMPANY_CIK_CANDIDATE_NOT_HISTORICALLY_VERIFIED,41,2010-02-26,2020-03-31,38,0,EVIDENCE_AVAILABLE_NOT_VERIFIED
006338,24053,21035.0,1,LC,P,1962-01-31,,1711269,EVERGY INC,CURRENT_COMPANY_CIK_CANDIDATE_NOT_HISTORICALLY_VERIFIED,26,2018-08-08,2024-11-07,4,0,EVIDENCE_AVAILABLE_NOT_VERIFIED
001794,24272,20222.0,1,LC,P,1962-01-31,,1674862,ASHLAND INC,CURRENT_COMPANY_CIK_CANDIDATE_NOT_HISTORICALLY_VERIFIED,33,2016-11-21,2024-11-18,0,0,EVIDENCE_AVAILABLE_NOT_VERIFIED
