token,mean,std
0,0.074198,0.043075796
1,0.07330756,0.0013089553
2,0.06888049,0.0011805594
3,0.05849679,0.004626343
4,0.040777683,0.003681859
5,0.04644054,0.002601374
6,0.052505217,0.0078057777
7,0.05980567,0.005201841
8,0.034886636,0.0027560536
9,0.045013666,0.016853549
10,0.036703154,0.0023564976
11,0.03776811,0.00060123764
12,0.050533827,0.0008365698
13,0.046289258,0.005766811
14,0.03827752,0.006342078
15,0.034535326,0.0047447896
16,0.041119777,0.014050509
17,0.03783645,0.0037933588
18,0.038626462,0.00019646622
19,0.046425983,0.018049119
20,0.03757195,0.0067293867
