target,stream,kind,drop_pr_auc,drop_pr_auc_std,drop_mcc,drop_mcc_std,base_pr_auc,base_mcc,seed
GRUP: teknik (I),tech,group,0.06130427581926708,0.0012992398945422398,0.1265423346074692,0.0028370119328360323,0.19486278679833477,0.13224143006704148,43
GRUP: fundamental (II),fund,group,0.011317388060099104,0.0004306919496232331,0.01833027159320112,0.001886686735142029,0.19486278679833477,0.13224143006704148,43
RSI,tech,feature,-0.003971828146352792,0.0012297410627789569,-0.006805203692239294,0.00215709262156472,0.19486278679833477,0.13224143006704148,43
MACD_Hist,tech,feature,0.005453483822557077,0.000285194163374144,0.007922910844059883,0.0012548795311887893,0.19486278679833477,0.13224143006704148,43
MACD_Hist_Slope,tech,feature,0.010299149499712177,0.0003976230747617031,0.015632750538254452,0.0010060183311101228,0.19486278679833477,0.13224143006704148,43
BB_Pct,tech,feature,0.009556402771658016,0.0010410364770726136,0.02000645578365548,0.0020412525982577627,0.19486278679833477,0.13224143006704148,43
BB_Width,tech,feature,0.00484215077768214,0.0005675385213014035,0.002592904929499188,0.0009365937056034285,0.19486278679833477,0.13224143006704148,43
Returns,tech,feature,0.004250498583296541,0.0002606326534175925,0.007648342810732632,0.00025650758709276465,0.19486278679833477,0.13224143006704148,43
Vol_20d,tech,feature,0.021802761975435098,0.0003318567464294525,0.039124658034098474,0.0006673429859375326,0.19486278679833477,0.13224143006704148,43
Vol_5d,tech,feature,0.03991977415675393,6.8520238388851e-05,0.07997948383464723,0.0010428108101089711,0.19486278679833477,0.13224143006704148,43
Current_Drawdown_5d,tech,feature,0.009915705495337102,0.0002131843373278597,0.009780566402009675,0.0004028319441470601,0.19486278679833477,0.13224143006704148,43
Current_Drawdown_20d,tech,feature,0.00461029685353509,0.0001842986365943944,0.0017212554167632583,0.0004110505768996462,0.19486278679833477,0.13224143006704148,43
Current_Return_5d,tech,feature,0.001576270537729944,0.00024014157215965137,0.0038419397803894084,0.0008113475805668497,0.19486278679833477,0.13224143006704148,43
ADX_14,tech,feature,0.003266085363607951,0.00012438945646709888,0.0037028245738474816,0.00021431375442567286,0.19486278679833477,0.13224143006704148,43
Price_vs_SMA50,tech,feature,0.0018487174136423239,0.0010278893867055625,-0.0016800742087509462,0.0005659111663567497,0.19486278679833477,0.13224143006704148,43
Price_vs_SMA200,tech,feature,0.010701938483364268,0.0006005854817948711,0.020515391821078307,0.0011002710014132522,0.19486278679833477,0.13224143006704148,43
ROC_10,tech,feature,0.01480298987755462,0.0011894728454441717,0.022205948657975524,0.001659461763139794,0.19486278679833477,0.13224143006704148,43
Dist_to_Max252d,tech,feature,0.013200432088563622,0.0008213179483308148,0.024898982218729975,0.000984146156899471,0.19486278679833477,0.13224143006704148,43
Rel_Volume,tech,feature,0.0019103194996072752,0.00021686528929293732,0.0011064608842485946,0.0011571407341642212,0.19486278679833477,0.13224143006704148,43
Vol_Trend,tech,feature,0.002654182128374677,0.00035266161522687627,0.005824046843567336,0.001040023817384262,0.19486278679833477,0.13224143006704148,43
Price_vs_Max20d,tech,feature,-0.001423545549013731,0.00034135070643407956,-0.005178842018299323,0.0008326802474005387,0.19486278679833477,0.13224143006704148,43
RSI_vs_Max20d,tech,feature,0.00413835706027819,0.0007471210040064897,0.008217715585167124,0.001091568291227614,0.19486278679833477,0.13224143006704148,43
RSI_Divergence,tech,feature,0.00029611547502935337,0.000427785242971325,-0.00013266443616171317,0.0006770729542762578,0.19486278679833477,0.13224143006704148,43
Vol_Dist_Ratio,tech,feature,0.003162506158009587,4.235818183391097e-05,0.005547474824028499,0.0014825967177314486,0.19486278679833477,0.13224143006704148,43
Rel_Returns,tech,feature,0.0015115426206363525,0.0001396294409930667,0.0018308656271257089,0.0007529849350679741,0.19486278679833477,0.13224143006704148,43
Rel_RSI,tech,feature,0.006825423264915226,0.0005300452002482583,0.016332433521246744,0.0006957927297287947,0.19486278679833477,0.13224143006704148,43
Rel_Vol_20d,tech,feature,0.004167315188120237,0.0011510990935861662,0.010659007990035274,0.0009318329202379292,0.19486278679833477,0.13224143006704148,43
Rel_MACD,tech,feature,0.012436090155361318,0.0010208778556373887,0.020281883941440326,0.002327285804666862,0.19486278679833477,0.13224143006704148,43
Rel_ROC_10,tech,feature,0.013202519198031124,0.0005884492748172922,0.010678132406910854,0.0003072164064237629,0.19486278679833477,0.13224143006704148,43
Rel_ATR_14,tech,feature,0.013111646883989294,0.0012095551235361784,0.014264173578889169,0.002235670227953889,0.19486278679833477,0.13224143006704148,43
CCI_14,tech,feature,-0.0015613207460232759,0.00039344818023188504,-0.0044672675207927766,0.0004216600857133493,0.19486278679833477,0.13224143006704148,43
MFI_14,tech,feature,0.0009591643338980327,0.0002093590588979698,0.0022957523447457995,0.0010733959789119027,0.19486278679833477,0.13224143006704148,43
WILLR_14,tech,feature,-0.0019290145906426803,0.000631130067627056,-0.0020332881130980993,0.0005155328532851723,0.19486278679833477,0.13224143006704148,43
OBV_Z20,tech,feature,-0.00021151951064582453,0.00023181179867451813,-0.00254920882376967,0.0007037701642683882,0.19486278679833477,0.13224143006704148,43
Debt_to_Equity,fund,feature,0.00039881310626738165,0.0004117911441747192,0.0021382093939479783,0.0005276817570349645,0.19486278679833477,0.13224143006704148,43
Net_Profit_Margin,fund,feature,0.0019026276331905179,0.0005304785905305751,0.004815734631455737,0.0014387812376950807,0.19486278679833477,0.13224143006704148,43
Current_Ratio,fund,feature,0.0014300414200327238,0.0005207289136286175,0.0026260898181860726,0.0006198788797187164,0.19486278679833477,0.13224143006704148,43
Altman_Z,fund,feature,0.005702031951887038,0.0005261586294769093,0.011147271402899164,0.0007774332127402838,0.19486278679833477,0.13224143006704148,43
Retained_Earnings_TA,fund,feature,0.006147967227072698,0.000849340553325795,0.00683728233683945,0.0013935512247570873,0.19486278679833477,0.13224143006704148,43
Market_Value_to_Liab,fund,feature,0.01023756028462075,0.00048211245145626553,0.010149824977793426,0.0007949252827810024,0.19486278679833477,0.13224143006704148,43
GRUP: teknik (I),tech,group,0.0678196454499606,0.0008500314706991287,0.12592912018030847,0.0038968122198696042,0.20085916601446957,0.12911284949035146,44
GRUP: fundamental (II),fund,group,0.009380767797579478,0.00018683801269010582,0.005962874375480399,0.00037161606536188654,0.20085916601446957,0.12911284949035146,44
RSI,tech,feature,0.0038557067418115154,0.00016080104170471338,0.005062423722529842,0.0018268594242392884,0.20085916601446957,0.12911284949035146,44
MACD_Hist,tech,feature,0.004404297026460696,0.0008314050475309679,0.0018698542297236054,0.00025757275706656885,0.20085916601446957,0.12911284949035146,44
MACD_Hist_Slope,tech,feature,0.005199396450574924,0.0005959490475588234,0.012543466679609339,0.0019436039389217053,0.20085916601446957,0.12911284949035146,44
BB_Pct,tech,feature,0.006419297052171637,0.0002775122231677361,0.012265103110260106,0.0014137312116264415,0.20085916601446957,0.12911284949035146,44
BB_Width,tech,feature,-0.00014922847590392863,0.00011374242740960246,-0.0016912078714540664,0.0012107297648293331,0.20085916601446957,0.12911284949035146,44
Returns,tech,feature,0.0006845395577225651,0.0004584628744402633,0.0006412623585211145,0.0001926735596853154,0.20085916601446957,0.12911284949035146,44
Vol_20d,tech,feature,0.028614095614689212,7.917414248970234e-05,0.046225625285203416,0.0026896817722415448,0.20085916601446957,0.12911284949035146,44
Vol_5d,tech,feature,0.03775251061955873,0.00038220373364228154,0.06991012584293753,0.003623405793793517,0.20085916601446957,0.12911284949035146,44
Current_Drawdown_5d,tech,feature,0.012909095506702004,0.00042985865188061007,0.009373628429667644,0.0006375621383584974,0.20085916601446957,0.12911284949035146,44
Current_Drawdown_20d,tech,feature,0.0050713886375374035,0.00024635724929051455,-0.00142217053386758,0.0006128892150455824,0.20085916601446957,0.12911284949035146,44
Current_Return_5d,tech,feature,0.005236138053821217,0.00029696773118657985,0.006570223655959634,0.0007989036443632567,0.20085916601446957,0.12911284949035146,44
ADX_14,tech,feature,0.0035239617449720484,0.0002773676282326869,0.0038485966038226405,0.0014634543215968183,0.20085916601446957,0.12911284949035146,44
Price_vs_SMA50,tech,feature,0.00022656451398123112,0.000609635876777112,-0.0065333818780969055,0.0017176617619309113,0.20085916601446957,0.12911284949035146,44
Price_vs_SMA200,tech,feature,0.015005238544827557,0.0004494888684826593,0.02458633764755842,0.0014358862661157082,0.20085916601446957,0.12911284949035146,44
ROC_10,tech,feature,0.013631569906995924,0.0006823260375250473,0.014156537175614237,0.00012105838291962357,0.20085916601446957,0.12911284949035146,44
Dist_to_Max252d,tech,feature,0.010016644860310647,0.0005685657213218314,0.014777307636150006,0.001941727658040326,0.20085916601446957,0.12911284949035146,44
Rel_Volume,tech,feature,0.0002188317340153604,0.00011113901000884416,-0.0008312311310343101,0.00017468453729735153,0.20085916601446957,0.12911284949035146,44
Vol_Trend,tech,feature,0.002946970240114477,0.0003821041284199487,0.004393369783353816,0.00042967648237359537,0.20085916601446957,0.12911284949035146,44
Price_vs_Max20d,tech,feature,0.0011519902861554059,0.0005704497285550749,-0.0063984094694552185,0.0018758845859356765,0.20085916601446957,0.12911284949035146,44
RSI_vs_Max20d,tech,feature,-0.0013091051178481157,0.00019895924791654714,-0.0002073886125795917,0.0007367683273387941,0.20085916601446957,0.12911284949035146,44
RSI_Divergence,tech,feature,0.002519934291213453,0.0004306921438911886,0.0028000883180633687,0.0009006914024569047,0.20085916601446957,0.12911284949035146,44
Vol_Dist_Ratio,tech,feature,-0.00011075800857300126,7.693859625908837e-05,-0.0011958749488067504,0.0005273982107870202,0.20085916601446957,0.12911284949035146,44
Rel_Returns,tech,feature,-0.00010085103470818442,0.00035533755257155037,-0.0007134702568403298,0.00035702846325685243,0.20085916601446957,0.12911284949035146,44
Rel_RSI,tech,feature,0.0067882413134149056,0.00022242643570790838,0.0027548645781957093,0.0010850833574992521,0.20085916601446957,0.12911284949035146,44
Rel_Vol_20d,tech,feature,0.005369647202255652,0.000461691277617431,0.007210310017193656,0.0002735826648967801,0.20085916601446957,0.12911284949035146,44
Rel_MACD,tech,feature,0.011169344870327252,0.0005493179103203269,0.01930999686297268,0.0007987984049902758,0.20085916601446957,0.12911284949035146,44
Rel_ROC_10,tech,feature,0.016212667268742913,0.0003538591699173235,0.010163092763119344,0.0013602750819893363,0.20085916601446957,0.12911284949035146,44
Rel_ATR_14,tech,feature,0.008726144103206398,0.00043492364600670287,0.00809401250085757,0.000823445945984136,0.20085916601446957,0.12911284949035146,44
CCI_14,tech,feature,-0.0006744976070759597,0.0001364880121390151,-0.002649611175890789,0.0002485546100388591,0.20085916601446957,0.12911284949035146,44
MFI_14,tech,feature,0.0005137354978340392,0.00013615998776250678,0.0013346767651175966,0.0012906436486677698,0.20085916601446957,0.12911284949035146,44
WILLR_14,tech,feature,0.0012330835934953783,8.744046720333943e-05,0.000643145124132725,0.00047627271479106734,0.20085916601446957,0.12911284949035146,44
OBV_Z20,tech,feature,-0.0007114413832707186,0.0003490092039634666,-0.0021325841634547613,0.0018977596776636198,0.20085916601446957,0.12911284949035146,44
Debt_to_Equity,fund,feature,0.0022893709312338064,0.000390772568274291,-0.0035330472881393107,0.0008498929716067744,0.20085916601446957,0.12911284949035146,44
Net_Profit_Margin,fund,feature,0.0030845842147113334,0.0004525760443059155,-0.00017894776000984547,0.0012548941236364504,0.20085916601446957,0.12911284949035146,44
Current_Ratio,fund,feature,0.0017090317745849608,0.00037690180278913873,5.995420862126011e-05,0.00020862160163324464,0.20085916601446957,0.12911284949035146,44
Altman_Z,fund,feature,0.0044559182595661035,0.0005659128242511665,0.004062259690720503,0.0008903712155211532,0.20085916601446957,0.12911284949035146,44
Retained_Earnings_TA,fund,feature,0.004437769105741766,0.0006767447215939017,0.001554948588400366,0.0008289897292252197,0.20085916601446957,0.12911284949035146,44
Market_Value_to_Liab,fund,feature,0.008248375808948097,0.0006588461179568788,0.0060909833495116405,0.002201310122839713,0.20085916601446957,0.12911284949035146,44
