target,kind,stream,drop_pr_auc,drop_pr_auc_sd,drop_mcc,n
GRUP: teknik (I),group,tech,0.06456196063461384,0.004607062047800276,0.12623572739388883,2
Vol_5d,feature,tech,0.03883614238815633,0.0015324867437690722,0.07494480483879237,2
Vol_20d,feature,tech,0.025208428795062153,0.004816340205240631,0.042675141659650945,2
Rel_ROC_10,feature,tech,0.01470759323338702,0.002128496113175909,0.010420612585015098,2
ROC_10,feature,tech,0.014217279892275272,0.0008283190047993997,0.01818124291679488,2
Price_vs_SMA200,feature,tech,0.012853588514095913,0.0030428926549411783,0.022550864734318363,2
Rel_MACD,feature,tech,0.011802717512844285,0.0008957241810836737,0.019795940402206502,2
Dist_to_Max252d,feature,tech,0.011608538474437134,0.0022512775389528,0.01983814492743999,2
Current_Drawdown_5d,feature,tech,0.011412400501019552,0.0021166463757721996,0.009577097415838658,2
Rel_ATR_14,feature,tech,0.010918895493597846,0.003101018755204047,0.01117909303987337,2
GRUP: fundamental (II),group,fund,0.010349077928839292,0.0013693973202109,0.01214657298434076,2
Market_Value_to_Liab,feature,fund,0.009242968046784424,0.001406565831779141,0.008120404163652534,2
BB_Pct,feature,tech,0.007987849911914827,0.002218268727547922,0.016135779446957793,2
MACD_Hist_Slope,feature,tech,0.007749272975143551,0.0036060699634217243,0.014088108608931896,2
Rel_RSI,feature,tech,0.006806832289165066,2.6291610043625752e-05,0.009543649049721227,2
Retained_Earnings_TA,feature,fund,0.005292868166407233,0.0012092926887655963,0.004196115462619908,2
Altman_Z,feature,fund,0.005078975105726571,0.0008811354419695399,0.007604765546809833,2
MACD_Hist,feature,tech,0.004928890424508886,0.0007418870982511384,0.004896382536891744,2
Current_Drawdown_20d,feature,tech,0.004840842745536247,0.0003260411272174387,0.00014954244144783913,2
Rel_Vol_20d,feature,tech,0.0047684811951879446,0.0008501771204328321,0.008934659003614466,2
Current_Return_5d,feature,tech,0.0034062042957755806,0.002587917138872505,0.005206081718174521,2
ADX_14,feature,tech,0.00339502355429,0.00018234613797040136,0.0037757105888350613,2
Vol_Trend,feature,tech,0.002800576184244577,0.00020703245926201728,0.005108708313460576,2
Net_Profit_Margin,feature,fund,0.0024936059239509256,0.0008357695138614391,0.0023183934357229458,2
Returns,feature,tech,0.002467519070509553,0.002521513808416732,0.004144802584626873,2
BB_Width,feature,tech,0.0023464611508891057,0.003529438117684557,0.0004508485290225609,2
Current_Ratio,feature,fund,0.0015695365973088424,0.00019727597158952589,0.0013430220134036663,2
Vol_Dist_Ratio,feature,tech,0.001525874074718293,0.002314547288805481,0.0021757999376108743,2
RSI_vs_Max20d,feature,tech,0.0014146259712150373,0.003851937446410351,0.004005163486293766,2
RSI_Divergence,feature,tech,0.0014080248831214032,0.0015724773650540173,0.0013337119409508277,2
Debt_to_Equity,feature,fund,0.001344092018750594,0.0013368262582590489,-0.0006974189470956662,2
Rel_Volume,feature,tech,0.0010645756168113178,0.0011960624693441242,0.00013761487660714222,2
Price_vs_SMA50,feature,tech,0.0010376409638117776,0.00114703531547178,-0.0041067280434239255,2
MFI_14,feature,tech,0.0007364499158660359,0.0003149657505168808,0.0018152145549316981,2
Rel_Returns,feature,tech,0.0007053457929640841,0.001140134487636287,0.0005586976851426895,2
RSI,feature,tech,-5.806070227063831e-05,0.005534902999395266,-0.0008713899848547257,2
Price_vs_Max20d,feature,tech,-0.00013577763142916255,0.0018211788542370547,-0.005788625743877271,2
WILLR_14,feature,tech,-0.000347965498573651,0.0022359410687816895,-0.0006950714944826872,2
OBV_Z20,feature,tech,-0.00046148044695827156,0.00035349814619654006,-0.0023408964936122156,2
CCI_14,feature,tech,-0.0011179091765496179,0.0006270786552627872,-0.0035584393483417825,2
