cell,seed,threshold,minutes,val_roc_auc,val_pr_auc,val_accuracy,val_mcc,val_precision,val_recall,val_f1,test_roc_auc,test_pr_auc,test_accuracy,test_mcc,test_precision,test_recall,test_f1
I,42,0.5290382657621215,29.1,0.6356939182713843,0.14937303248161904,0.7133998077394303,0.12059795070411393,0.1554564172958133,0.43852855759922554,0.2295414238662275,0.6081371344345308,0.1901960676730233,0.7179948033680427,0.07878488474525075,0.1991802563878957,0.3030785562632696,0.2403830974056728
I,43,0.47014290981567763,33.4,0.6290620009936059,0.14235256999819126,0.4915461896593972,0.1115256064483302,0.12717948717948718,0.7202323330106486,0.2161848031381665,0.5837912971498842,0.1796957432881453,0.5940375485963233,0.07777092427036215,0.18062120189061445,0.496947983014862,0.26494517155995756
I,44,0.5127385195960168,20.1,0.6176787544606339,0.14480546851926185,0.5863193410363222,0.101890958581472,0.13213502849627357,0.5835430784123911,0.2154781054512958,0.6404161310901597,0.2191302123135266,0.6760114872916951,0.14149715387545617,0.22087857847976308,0.4750530785562633,0.30154986522911054
I,45,0.5193508112600017,26.8,0.6278462912332713,0.14321612794704847,0.6118221401240269,0.11327854226577729,0.13830934408551737,0.5711519845111326,0.22269193024835812,0.6021959439330131,0.18898594047760547,0.685056752691113,0.08874153204814672,0.1979452536767293,0.37327494692144375,0.2587023497493907
I,46,0.5060984050649464,20.2,0.6292153557558796,0.1474682592486582,0.6047914349801142,0.11309081418627925,0.13750229399889888,0.5802516940948693,0.22232113052186492,0.6453353000767863,0.2132015854569706,0.6861507804716042,0.1427103819232453,0.22410558323089863,0.4596602972399151,0.30130909407210893
I+II,42,0.4484803960833661,53.5,0.632540060399079,0.14550240774079526,0.419523872354061,0.11408863363189986,0.12270733358848294,0.8069699903194579,0.2130225902075028,0.5816944427745044,0.17838856537034492,0.49485220856858186,0.08617713291241787,0.17482517482517482,0.6535297239915074,0.2758562746800347
I+II,43,0.486709144231069,44.6,0.6278128354673328,0.14590709579655134,0.5162761766535351,0.1134596290889301,0.12957206881596067,0.6940948693126815,0.2183778515517924,0.6245136051510872,0.20749062749853375,0.6135151503311388,0.11825196842313362,0.1988393252348399,0.5364915074309978,0.2901431698302774
I+II,44,0.5244352712539526,40.1,0.6280865521486243,0.14660523309091333,0.6178915424198443,0.11754150228454821,0.14039514401333017,0.5709583736689254,0.2253725640045854,0.6232680204197344,0.20781768175063164,0.6791763533709732,0.10018919467512288,0.2025307980717729,0.40140658174097665,0.2692239231043076
I+II,45,0.43922677302838964,44.6,0.6083206814610017,0.14055451012799822,0.33085782142385917,0.09252052599468329,0.11361609985989046,0.8635043562439496,0.20081044574515983,0.6231332644701961,0.20518742140570792,0.4985836247484713,0.1284747407769284,0.18709009319986192,0.7192144373673036,0.296937489727716
I+II,46,0.5183569812545405,44.6,0.6197058079856548,0.1464580491720676,0.6080334759580043,0.10482163174804288,0.13511999252964796,0.5603097773475315,0.21773313771959524,0.6188412744816647,0.20849616606257798,0.735929044483951,0.10443029156859292,0.21938631885145912,0.31024416135881105,0.25702193151212005
I+II+IV,42,0.48574450448504247,62.1,0.6512425714049142,0.1536056952065741,0.626920249561759,0.13285079416275442,0.146598376497874,0.5874152952565344,0.23463903174664552,0.607497069133716,0.19654418692068212,0.6709125363861919,0.09855180852919211,0.20015460928944148,0.4122876857749469,0.26948263151047314
I+II+IV,43,0.529444908825649,70.9,0.6497163213842949,0.15321653851224257,0.6807532090550958,0.13488903888679213,0.1553864168618267,0.5138431752178122,0.23861541919532478,0.6139929421607528,0.19372906754982575,0.7150643718131556,0.09608770510106102,0.20845396641574984,0.3343949044585987,0.25681528662420383
I+II+IV,44,0.5262693988758584,57.7,0.6510056863886016,0.15143761651978543,0.6993195483761522,0.1360787618507419,0.15922158337019018,0.4878993223620523,0.24009146341463414,0.5983348303818441,0.18792617290837735,0.7165295875905991,0.07847005344253252,0.19866920152091255,0.30506900212314225,0.24063219593887378
I+II+IV,45,0.5037165483458581,62.2,0.6551835272137084,0.15005756862678118,0.6681808757280455,0.13853957831951746,0.15464489977233606,0.5392061955469506,0.24035557089842063,0.6011665004063061,0.19131079655274572,0.7023072264442144,0.09505461873148814,0.20481373601103786,0.35456475583864117,0.25964434943154213
I+II+IV,46,0.4857960000684029,40.0,0.6429675555482961,0.15217827316511565,0.5542193655401203,0.12865098722509624,0.1370508541134891,0.675701839303001,0.22788116225922297,0.6216759099669201,0.20541364094588072,0.6035126106237912,0.10869257311245933,0.1937202938211148,0.5354299363057324,0.28450555261766264
