strategy,total_return,cagr,ann_vol,sharpe,sortino,max_drawdown,calmar,n_days,cost_bps,avg_turnover,exposure,exclude_pct,rebalance_days,period
buy_hold,-0.12780577576254804,-0.12828081201721564,0.23623649273604325,-0.46331111949492304,-0.7649256315951906,-0.2147394761906388,-0.5973788066025274,251,10,0.038461538461538464,1.0,20.0,20,2022
I_seed42,-0.09224056296439453,-0.09259049235978367,0.2381566860697372,-0.2892472979550839,-0.4499156225146675,-0.2216727858798877,-0.4176899387638561,251,10,0.18705382476449894,0.9203187250996016,20.0,20,2022
I_seed43,-0.07692455752285055,-0.07721888086277384,0.2354392704750459,-0.22401367951974363,-0.3496062884989481,-0.21583243402710647,-0.35777236730359024,251,10,0.19834903422054725,0.9203187250996016,20.0,20,2022
I_seed44,-0.08303293186160776,-0.08334955494025753,0.2322951371341381,-0.2588044248144935,-0.399890873444199,-0.2178041908103128,-0.38268113496882733,251,10,0.1719580580765683,0.9203187250996016,20.0,20,2022
I_seed45,-0.09317177503646834,-0.09352505212944828,0.23621256162000778,-0.2979243507794807,-0.464383122346505,-0.22624546008374385,-0.41337869097939184,251,10,0.20026437205582884,0.9203187250996016,20.0,20,2022
I_seed46,-0.09100708847525218,-0.09135257766305005,0.23272603820102938,-0.29555963530374973,-0.4530442307480023,-0.2212611828924181,-0.41287213811682283,251,10,0.16944587943231879,0.9203187250996016,20.0,20,2022
I+II_seed42,-0.08155483933685204,-0.08186608124936123,0.23542680564247345,-0.24542901309707274,-0.38039094142617186,-0.21561295070478723,-0.37968999998265673,251,10,0.18565369241948085,0.9203187250996016,20.0,20,2022
I+II_seed43,-0.08088804653031179,-0.08119685779259134,0.23460607212617268,-0.24398662072537214,-0.37854785446861206,-0.21368751527616034,-0.3799794184871123,251,10,0.17851827636431472,0.9203187250996016,20.0,20,2022
I+II_seed44,-0.08386787998230427,-0.08418753857599248,0.23424639242870512,-0.2586098718682539,-0.39913716537510974,-0.2200846090312478,-0.38252351650832367,251,10,0.175250091480477,0.9203187250996016,20.0,20,2022
I+II_seed45,-0.08116281791794522,-0.08147263103480229,0.23543839119314655,-0.24356858446693036,-0.3758258457430635,-0.21737350334772457,-0.3748047935008595,251,10,0.17797501115376937,0.9203187250996016,20.0,20,2022
