strategy,total_return,cagr,ann_vol,sharpe,sortino,max_drawdown,calmar,n_days,mode,turnover,avg_invested,avg_cash
multi_pure_seed43__renorm,0.26610231539121787,0.08449616247482172,0.1903357373771543,0.5211626796805934,0.8310807710966956,-0.22787803423247513,0.3707955563133434,733,renorm,0.4038686531931945,0.9727148703956344,0.0
multi_pure_seed43__cash,0.21511317528616258,0.06927794311427848,0.1520383185099308,0.5164683180696609,0.8240588761189341,-0.1855576560099221,0.3733499581961418,733,cash,0.32326418398064827,0.7781944342820449,0.20000000000000004
multi_pure_seed43__timing,0.2237088237618976,0.07187238444433408,0.1704065928567613,0.4924467844293965,0.7408666963730653,-0.22144914653321401,0.32455480443025464,733,timing,0.46010437475061533,0.8490965827114733,0.1262947040126762
multi_pure_seed43__timing_oracle,0.41053544779275697,0.12553011689806182,0.17938423507235607,0.7488063713097112,1.197063130821193,-0.211170516423746,0.5944490690460139,733,timing_oracle,0.44605712442431805,0.9014146535897228,0.0715752937285646
multi_pure_seed44__renorm,0.17728870917475503,0.05771593183845414,0.18662831133699162,0.39382775248285545,0.6168323188111555,-0.22631179552837138,0.25502838552318685,733,renorm,0.3959030483599537,0.9727148703956344,0.0
multi_pure_seed44__cash,0.14591806600781654,0.047940344052014305,0.14904788287798354,0.3885861724312729,0.6090138520688846,-0.1842361884615147,0.2602113322705252,733,cash,0.3168928823331392,0.7780330698594119,0.20000000000000004
multi_pure_seed44__timing,0.14701400736556058,0.048284797588409756,0.16787143210441885,0.36481540035898097,0.5410667613045494,-0.228770166580123,0.21106247510423873,733,timing,0.4340346172974394,0.8498770898919025,0.12539600924330965
multi_pure_seed44__timing_oracle,0.3103227999437175,0.09737179619322789,0.17559809295823925,0.6168521882057074,0.9678755596235238,-0.20943341610881783,0.4649296086668197,733,timing_oracle,0.44118435333958794,0.9013746168401873,0.0715752937285646
multi_pure_seed45__renorm,0.19037369487810696,0.06174290677091765,0.18653448793705865,0.41430089047432456,0.6524135122751392,-0.2229333583604695,0.27695678755748687,733,renorm,0.39850385510505204,0.9727148703956344,0.0
multi_pure_seed45__cash,0.15584729856846935,0.05105324057800642,0.14900463941482606,0.4085611377612769,0.6435865801228152,-0.18143567560327137,0.281384796062048,733,cash,0.3189712831294702,0.7780618822990379,0.20000000000000004
multi_pure_seed45__timing,0.12445588312174882,0.041150780552836164,0.16620670413237795,0.32572084702917525,0.4819141687515193,-0.2309604579987329,0.17817240626125674,733,timing,0.44726964336175634,0.8421435620767472,0.13366734269414443
multi_pure_seed45__timing_oracle,0.31951437845825437,0.10001216940071123,0.1757674796009856,0.6301025785157119,0.9907446011018944,-0.20610106812513518,0.4852578897843867,733,timing_oracle,0.4439307914691459,0.901400862459034,0.0715752937285646
multi_pure_seed46__renorm,0.2732386470282884,0.08659379495282371,0.1890510662888169,0.5336336066725139,0.8479814898751594,-0.22746176808502847,0.38069604260023915,733,renorm,0.3877045286815171,0.9727148703956344,0.0
multi_pure_seed46__cash,0.2202767502064844,0.07083791367455183,0.1509878397742191,0.5286618182851883,0.8406055081208453,-0.18520806672843582,0.38247747479821714,733,cash,0.3102963367078889,0.7781891404491731,0.20000000000000004
multi_pure_seed46__timing,0.21085635179200324,0.06798863725707527,0.16611540434223382,0.47895570292813194,0.7208123040339802,-0.21626151947879663,0.31438157570025405,733,timing,0.41307071305179666,0.8309242380693348,0.14485423261456642
multi_pure_seed46__timing_oracle,0.4105928355508983,0.12554585974031518,0.17821716048471128,0.7526167783352773,1.1967354687165965,-0.2100020723084194,0.5978315278524124,733,timing_oracle,0.4329639165060486,0.9014347911047077,0.0715752937285646
multi_pure_seed47__renorm,0.1742952384364571,0.05679055137961808,0.18745702725789404,0.38824790291256844,0.6101411759518106,-0.23161598586005477,0.24519271054948527,733,renorm,0.3960387981372182,0.9727148703956344,0.0
