table_schema,table_name,column_name,data_type
audit,f26_auditor,cik_company_fkey,character varying
audit,f53_auditor,cik_company_fkey,character varying
audit,f60_auditor,cik_company_fkey,character varying
audit,f80_fund_to_cik,mfh_fund_fkey,double precision
audit,f80_fund_to_cik,company_fkey,character varying
audit,f87_fund_to_cik,mfh_fund_fkey,double precision
audit,f87_fund_to_cik,company_key,character varying
audit,f91_feed91_related_party,cik,character varying
audit,f91_feed91_respondent,cik,character varying
audit,feed25_comment_letters,list_ciks_reclet,character varying
audit,feed26_comment_letter_conversati,list_of_ciks,character varying
audit,feed33_erisa,cik_company_fkey,character varying
audit,feed94_crowdfunding,intermediary_cik,character varying
audit_acct_os,f91_feed91_related_party,cik,character varying
audit_acct_os,f91_feed91_respondent,cik,character varying
audit_acct_os_old,f91_feed91_related_party,cik,character varying
audit_acct_os_old,f91_feed91_respondent,cik,character varying
audit_corp_legal,f26_auditor,cik_company_fkey,character varying
audit_corp_legal,feed25_comment_letters,list_ciks_reclet,character varying
audit_corp_legal,feed26_comment_letter_conversati,list_of_ciks,character varying
audit_corp_legal_old,f26_auditor,cik_company_fkey,character varying
audit_corp_legal_old,feed25_comment_letters,list_ciks_reclet,character varying
audit_corp_legal_old,feed26_comment_letter_conversati,list_of_ciks,character varying
audit_esg_funds,f80_fund_to_cik,mfh_fund_fkey,double precision
audit_esg_funds,f80_fund_to_cik,company_fkey,character varying
audit_esg_funds,f87_fund_to_cik,mfh_fund_fkey,double precision
audit_esg_funds,f87_fund_to_cik,company_key,character varying
audit_esg_funds,feed94_crowdfunding,intermediary_cik,character varying
audit_esg_funds_old,f80_fund_to_cik,mfh_fund_fkey,double precision
audit_esg_funds_old,f80_fund_to_cik,company_fkey,character varying
audit_esg_funds_old,f87_fund_to_cik,mfh_fund_fkey,double precision
audit_esg_funds_old,f87_fund_to_cik,company_key,character varying
audit_esg_funds_old,feed94_crowdfunding,intermediary_cik,character varying
audit_oia,f53_auditor,cik_company_fkey,character varying
audit_oia,feed33_erisa,cik_company_fkey,character varying
audit_oia_old,f53_auditor,cik_company_fkey,character varying
audit_oia_old,feed33_erisa,cik_company_fkey,character varying
audit_sedar,f60_auditor,cik_company_fkey,character varying
audit_sedar_old,f60_auditor,cik_company_fkey,character varying
boardex,eur_company_profile_details,cikcode,character varying
boardex,eur_wrds_company_dir_names,cikcode,character varying
boardex,eur_wrds_company_names,cikcode,character varying
boardex,eur_wrds_company_profile,cikcode,character varying
boardex,eur_wrds_org_summary,cikcode,character varying
boardex,na_company_profile_details,cikcode,character varying
boardex,na_wrds_company_dir_names,cikcode,character varying
boardex,na_wrds_company_names,cikcode,character varying
boardex,na_wrds_company_profile,cikcode,character varying
boardex,na_wrds_org_summary,cikcode,character varying
boardex,row_company_profile_details,cikcode,character varying
boardex,row_wrds_company_dir_names,cikcode,character varying
boardex,row_wrds_company_names,cikcode,character varying
boardex,row_wrds_company_profile,cikcode,character varying
boardex,row_wrds_org_summary,cikcode,character varying
boardex,uk_company_profile_details,cikcode,character varying
boardex,uk_wrds_company_dir_names,cikcode,character varying
boardex,uk_wrds_company_names,cikcode,character varying
boardex,uk_wrds_company_profile,cikcode,character varying
boardex,uk_wrds_org_summary,cikcode,character varying
boardex_eur,eur_company_profile_details,cikcode,character varying
boardex_eur,eur_wrds_company_dir_names,cikcode,character varying
boardex_eur,eur_wrds_company_names,cikcode,character varying
boardex_eur,eur_wrds_company_profile,cikcode,character varying
boardex_eur,eur_wrds_org_summary,cikcode,character varying
boardex_eur_old,eur_company_profile_details,cikcode,character varying
boardex_eur_old,eur_wrds_company_dir_names,cikcode,character varying
boardex_eur_old,eur_wrds_company_names,cikcode,character varying
boardex_eur_old,eur_wrds_company_profile,cikcode,character varying
boardex_eur_old,eur_wrds_org_summary,cikcode,character varying
boardex_na,na_company_profile_details,cikcode,character varying
boardex_na,na_wrds_company_dir_names,cikcode,character varying
boardex_na,na_wrds_company_names,cikcode,character varying
boardex_na,na_wrds_company_profile,cikcode,character varying
boardex_na,na_wrds_org_summary,cikcode,character varying
boardex_na_old,na_company_profile_details,cikcode,character varying
boardex_na_old,na_wrds_company_dir_names,cikcode,character varying
boardex_na_old,na_wrds_company_names,cikcode,character varying
boardex_na_old,na_wrds_company_profile,cikcode,character varying
boardex_na_old,na_wrds_org_summary,cikcode,character varying
boardex_row,row_company_profile_details,cikcode,character varying
boardex_row,row_wrds_company_dir_names,cikcode,character varying
boardex_row,row_wrds_company_names,cikcode,character varying
boardex_row,row_wrds_company_profile,cikcode,character varying
boardex_row,row_wrds_org_summary,cikcode,character varying
boardex_row_old,row_company_profile_details,cikcode,character varying
boardex_row_old,row_wrds_company_dir_names,cikcode,character varying
boardex_row_old,row_wrds_company_names,cikcode,character varying
boardex_row_old,row_wrds_company_profile,cikcode,character varying
boardex_row_old,row_wrds_org_summary,cikcode,character varying
boardex_trial,jr_company_profile_details,cikcode,character varying
boardex_trial,jr_wrds_company_dir_names,cikcode,character varying
boardex_trial,jr_wrds_company_names,cikcode,character varying
boardex_trial,jr_wrds_company_profile,cikcode,character varying
boardex_trial,jr_wrds_org_summary,cikcode,character varying
boardex_trial,jr_wrds_org_summary_all,cikcode,character varying
boardex_trial_old,jr_company_profile_details,cikcode,character varying
boardex_trial_old,jr_wrds_company_dir_names,cikcode,character varying
boardex_trial_old,jr_wrds_company_names,cikcode,character varying
boardex_trial_old,jr_wrds_company_profile,cikcode,character varying
boardex_trial_old,jr_wrds_org_summary,cikcode,character varying
boardex_trial_old,jr_wrds_org_summary_all,cikcode,character varying
boardex_uk,uk_company_profile_details,cikcode,character varying
boardex_uk,uk_wrds_company_dir_names,cikcode,character varying
boardex_uk,uk_wrds_company_names,cikcode,character varying
boardex_uk,uk_wrds_company_profile,cikcode,character varying
boardex_uk,uk_wrds_org_summary,cikcode,character varying
boardex_uk_old,uk_company_profile_details,cikcode,character varying
boardex_uk_old,uk_wrds_company_dir_names,cikcode,character varying
boardex_uk_old,uk_wrds_company_names,cikcode,character varying
boardex_uk_old,uk_wrds_company_profile,cikcode,character varying
boardex_uk_old,uk_wrds_org_summary,cikcode,character varying
boardsmp,jr_company_profile_details,cikcode,character varying
boardsmp,jr_wrds_company_dir_names,cikcode,character varying
boardsmp,jr_wrds_company_names,cikcode,character varying
boardsmp,jr_wrds_company_profile,cikcode,character varying
boardsmp,jr_wrds_org_summary,cikcode,character varying
boardsmp,jr_wrds_org_summary_all,cikcode,character varying
bvd,os_gen,cik,character varying
bvd,osiris_qvards,cik,character varying
bvd_bvdbankf_trial,bvdbankf_bank,cik,character varying
bvd_bvdbankf_trial,bvdbankf_qvards,cik,character varying
bvd_osiris,os_gen,cik,character varying
bvd_osiris,osiris_qvards,cik,character varying
bvd_osiris_old,os_gen,cik,character varying
bvd_osiris_old,osiris_qvards,cik,character varying
bvdsamp,bvdbankf_bank,cik,character varying
bvdsamp,bvdbankf_qvards,cik,character varying
calcbench_ap_ar,accounts_payable_fn,cik_code,character varying
calcbench_ap_ar,accounts_receivable_fn,cik_code,character varying
calcbench_ap_ar_old,accounts_payable_fn,cik_code,character varying
calcbench_ap_ar_old,accounts_receivable_fn,cik_code,character varying
calcbench_business_combinations,business_combinations_fn,cik_code,character varying
calcbench_business_combinations_old,business_combinations_fn,cik_code,character varying
calcbench_business_segments,segment_fn,cik_code,character varying
calcbench_business_segments_old,segment_fn,cik_code,character varying
calcbench_commitment_contingency,commitments_contingencies_fn,cik_code,character varying
calcbench_commitment_contingency_old,commitments_contingencies_fn,cik_code,character varying
calcbench_common,entity_names,cik_code,character varying
calcbench_common_old,entity_names,cik_code,character varying
calcbench_concentration_risk,concentration_risk_bo,cik_code,character varying
calcbench_concentration_risk,concentration_risk_fn,cik_code,character varying
calcbench_concentration_risk_old,concentration_risk_bo,cik_code,character varying
calcbench_concentration_risk_old,concentration_risk_fn,cik_code,character varying
calcbench_derivatives_hedging,derivatives_hedging_bo,cik_code,character varying
calcbench_derivatives_hedging,derivatives_hedging_fn,cik_code,character varying
calcbench_derivatives_hedging_old,derivatives_hedging_bo,cik_code,character varying
calcbench_derivatives_hedging_old,derivatives_hedging_fn,cik_code,character varying
calcbench_discontinued_ops,restructuring_discontinued_op_fn,cik_code,character varying
calcbench_discontinued_ops_old,restructuring_discontinued_op_fn,cik_code,character varying
calcbench_equity_compensation,equity_based_compensation_bo,cik_code,character varying
calcbench_equity_compensation,equity_based_compensation_fn,cik_code,character varying
calcbench_equity_compensation_old,equity_based_compensation_bo,cik_code,character varying
calcbench_equity_compensation_old,equity_based_compensation_fn,cik_code,character varying
calcbench_equity_investments,equity_fn,cik_code,character varying
