model,threshold,val_mcc,n,mcc,pr_auc,roc_auc,precision,recall,grp
multi_text_seed46,0.5028031983622745,0.07307522739859687,138229,0.14898268320385283,0.20647216487986797,0.6601065690658292,0.19859253126497886,0.5151754931328774,multi_text
multi_text_seed52,0.5208655399542591,0.06469365886365387,138229,0.14122120658936382,0.2025994612778146,0.6526842566230977,0.19712698629513273,0.48940258859435937,multi_text
multi_text_seed50,0.5201200577487117,0.06758311188777952,138229,0.1410476271029148,0.20024929705406547,0.6529913304570356,0.1966055025165324,0.49234160402419036,multi_text
multi_text_seed45,0.5099024344048773,0.06806163008284657,138229,0.13961487874795497,0.19964521850476452,0.6492608620529239,0.19540204204740946,0.4943197874865766,multi_text
multi_text_seed43,0.5219745824807466,0.07614434776577535,138229,0.13643015889709278,0.2006154993212502,0.6540772473280306,0.19972836338942127,0.44882156785169275,multi_text
multi_text_seed51,0.49796740385202265,0.07495744022544452,138229,0.1336751033071684,0.1941578591181027,0.641489325270466,0.1810397446853037,0.5867292149437631,multi_text
multi_text_seed48,0.518341825865583,0.08221503511817538,138229,0.13187270473258914,0.19173721559737092,0.642579264848589,0.19165475339528235,0.4849375459221161,multi_text
multi_text_seed44,0.5197748252081632,0.058613800946725685,138229,0.13029844731072857,0.19326571231980016,0.6436765417994992,0.19634039353302418,0.4427174588820437,multi_text
multi_text_seed42,0.5330972917382938,0.0924426207604498,138229,0.1262518703160246,0.19078683015901327,0.6419453267182992,0.19969610850052055,0.40111908664443563,multi_text
Inverse volatility,-0.21877361940107187,0.1302581615914656,138229,0.12593243992249648,0.18694287733243703,0.6244063217641058,0.20449165213057563,0.3710506980161646,Inverse volatility
multi_text_seed47,0.5003826511942823,0.08826251161950473,138229,0.1221849088229056,0.18735432711264444,0.6300882530364729,0.1835631140097416,0.5026846775560956,multi_text
multi_text_seed49,0.5306688597768449,0.07409977469918057,138229,0.11862854288459411,0.18842666701274405,0.6302374165078906,0.19999377838611335,0.36336404227660657,multi_text
CHS (2008) logit,0.10225663128026727,0.13531790460994406,138229,0.02846719439516447,0.13746601285407628,0.5307659925814285,0.13409629206141785,0.7423839936698129,CHS (2008) logit
Naive volatility (Vol_20d),2.4803148207356855,0.05710696346989137,138229,0.0019258388168778473,0.10077269747679811,0.3755936782358942,0.14080459770114942,0.002769456847340756,Naive volatility (Vol_20d)
Altman Z (1968),5.26414513218301,0.03041507690459877,138229,-0.0030154084599828862,0.13758441366717072,0.5236014609226887,0.11346444780635401,0.004238964562256259,Altman Z (1968)
"GARCH(1,1)",8.498386199964443,0.026839191136181245,138229,-0.009326081208535316,0.11261144683447068,0.43779080200939435,0.1070110701107011,0.01802972927146329,"GARCH(1,1)"
