model,threshold,val_mcc,n,mcc,pr_auc,roc_auc,precision,recall,grp
multi_pure_seed49,0.5009736696094973,0.08986816771023237,138229,0.13460912833831906,0.19109331317566597,0.6413489748052812,0.18223303384353137,0.5800599106991465,multi_pure
multi_pure_seed44,0.4870942780604731,0.07275447368907219,138229,0.13369602177272777,0.19124523751063188,0.6386038429336173,0.16825530017962267,0.7253150963657944,multi_pure
multi_pure_seed46,0.5156249764850712,0.08871122112009788,138229,0.13258939553662513,0.19462908602858203,0.6464881186740222,0.2021683497977491,0.4152489685186232,multi_pure
multi_pure_seed52,0.5210479889585822,0.09281505605351668,138229,0.1318024616938,0.19370541439847258,0.6450732977845625,0.19915353867857982,0.4308483581077262,multi_pure
multi_pure_seed43,0.5196080099858568,0.10274725950403361,138229,0.1270109859668753,0.1869297770131664,0.6351318281873435,0.18642753881288104,0.5029107556660827,multi_pure
Inverse volatility,-0.21877361940107187,0.1302581615914656,138229,0.12593243992249648,0.18694287733243703,0.6244063217641058,0.20449165213057563,0.3710506980161646,Inverse volatility
multi_pure_seed51,0.4870755369049251,0.07032964061925093,138229,0.11933451696064944,0.17227422265118972,0.620168766485714,0.17572610455905652,0.5642344430000565,multi_pure
multi_pure_seed48,0.49761193627896516,0.09563679029979527,138229,0.11911201220044063,0.18313693221627433,0.6260795177703797,0.17089498545374918,0.6175323574294919,multi_pure
multi_pure_seed45,0.5017135327755409,0.06995927893576576,138229,0.1186772382506274,0.17860376422210714,0.624839511147388,0.17371374643994675,0.5826032894365003,multi_pure
multi_pure_seed47,0.5103235320861523,0.0893493812583562,138229,0.11792531149868057,0.18095835429186016,0.6279205085856434,0.18431830192002818,0.4731249646752953,multi_pure
multi_pure_seed50,0.5192358269539965,0.09624649206123867,138229,0.1178168349182033,0.18626972193543617,0.6294289060643765,0.19021106443285923,0.424800768665574,multi_pure
CHS (2008) logit,0.10225663128026727,0.13531790460994406,138229,0.02846719439516447,0.13746601285407628,0.5307659925814285,0.13409629206141785,0.7423839936698129,CHS (2008) logit
Naive volatility (Vol_20d),2.4803148207356855,0.05710696346989137,138229,0.0019258388168778473,0.10077269747679811,0.3755936782358942,0.14080459770114942,0.002769456847340756,Naive volatility (Vol_20d)
Altman Z (1968),5.26414513218301,0.03041507690459877,138229,-0.0030154084599828862,0.13758441366717072,0.5236014609226887,0.11346444780635401,0.004238964562256259,Altman Z (1968)
"GARCH(1,1)",8.498386199964443,0.026839191136181245,138229,-0.009326081208535316,0.11261144683447068,0.43779080200939435,0.1070110701107011,0.01802972927146329,"GARCH(1,1)"
