number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_reg_alpha,params_reg_lambda,params_subsample,user_attrs_best_iteration,state
0,0.22104653894173296,2026-09-24 12:04:10.910700,2026-09-24 12:04:58.357069,0 days 00:00:47.446369,0.8713820746780558,0.6189058983158862,0.04944799137258273,4,15.931665151779004,6.067897581002004,1.5272492598446754,0.9284080369666716,10,COMPLETE
1,0.22033169033377362,2026-09-24 12:04:58.564255,2026-09-24 12:05:41.097691,0 days 00:00:42.533436,0.7958609958307932,0.5960700857797343,0.09131564603356762,4,11.336414912963528,6.380877309831033,6.629222172901802,0.5370295782348484,9,COMPLETE
2,0.21588081258417283,2026-09-24 12:05:41.162952,2026-09-24 12:06:40.185556,0 days 00:00:59.022604,0.6000865454932192,1.6536748811027668,0.02032064812929213,5,17.274517819085414,1.628335696609121,4.206007631991679,0.7538507226509557,28,COMPLETE
3,0.21935864397376173,2026-09-24 12:06:40.229591,2026-09-24 12:07:41.737507,0 days 00:01:01.507916,0.8847449072690878,0.7309415343319206,0.010994331027422725,4,7.588820056475608,0.0012065485126894076,5.641514741593132,0.5210801516745593,41,COMPLETE
4,0.21519387847706836,2026-09-24 12:07:41.787358,2026-09-24 12:08:40.564009,0 days 00:00:58.776651,0.9014844369852335,1.004113142388469,0.01726977235833762,5,3.5695093585864455,0.947842571519948,1.9954764997144023,0.7435040997286689,26,COMPLETE
5,0.21930352005267667,2026-09-24 12:08:40.655468,2026-09-24 12:09:52.086052,0 days 00:01:11.430584,0.8415370385645591,1.9419176541587897,0.01183927742572504,4,4.50362538008755,0.0028219531841736697,3.3440486263546014,0.8254980778607718,64,COMPLETE
6,0.20974842937997323,2026-09-24 12:09:52.130175,2026-09-24 12:10:49.760384,0 days 00:00:57.630209,0.5440754692442961,1.6195489918250479,0.02633437424081869,6,14.227684986165087,3.1814399037234966,0.5254195366757168,0.9794703768416082,18,COMPLETE
7,0.2101411957180153,2026-09-24 12:10:49.812610,2026-09-24 12:11:50.525510,0 days 00:01:00.712900,0.779256376908855,1.5803796746585805,0.02014247041501469,6,18.974963429430368,0.01917223992437525,7.048661106928525,0.7937511810867656,19,COMPLETE
8,0.2195758619576595,2026-09-24 12:11:50.701852,2026-09-24 12:12:32.481446,0 days 00:00:41.779594,0.9331475717433144,0.830052412664988,0.09521842303183951,3,2.683367538873642,0.10388433254649719,6.096499657690309,0.5829529668834427,17,COMPLETE
9,0.22071666861819264,2026-09-24 12:12:32.533393,2026-09-24 12:13:13.410855,0 days 00:00:40.877462,0.5519494102677623,0.5643585499704928,0.09666784240869884,3,3.915980261224102,0.26841976703375836,0.18362318155461763,0.7811303854082667,15,COMPLETE
