number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_reg_alpha,params_reg_lambda,params_subsample,user_attrs_best_iteration,state
0,0.22980095021423447,2026-09-24 12:30:26.725705,2026-09-24 12:31:21.480120,0 days 00:00:54.754415,0.8713820746780558,0.6189058983158862,0.04944799137258273,4,15.931665151779004,6.067897581002004,1.5272492598446754,0.9284080369666716,16,COMPLETE
1,0.23402016147882768,2026-09-24 12:31:21.540298,2026-09-24 12:32:12.393437,0 days 00:00:50.853139,0.7958609958307932,0.5960700857797343,0.09131564603356762,4,11.336414912963528,6.380877309831033,6.629222172901802,0.5370295782348484,10,COMPLETE
2,0.22909309690220858,2026-09-24 12:32:12.443519,2026-09-24 12:33:19.659931,0 days 00:01:07.216412,0.6000865454932192,1.6536748811027668,0.02032064812929213,5,17.274517819085414,1.628335696609121,4.206007631991679,0.7538507226509557,22,COMPLETE
3,0.23114072140605502,2026-09-24 12:33:19.711896,2026-09-24 12:34:42.516279,0 days 00:01:22.804383,0.8847449072690878,0.7309415343319206,0.010994331027422725,4,7.588820056475608,0.0012065485126894076,5.641514741593132,0.5210801516745593,57,COMPLETE
4,0.22939453714334554,2026-09-24 12:34:42.566056,2026-09-24 12:36:24.589459,0 days 00:01:42.023403,0.9014844369852335,1.004113142388469,0.01726977235833762,5,3.5695093585864455,0.947842571519948,1.9954764997144023,0.7435040997286689,76,COMPLETE
5,0.23087318982361021,2026-09-24 12:36:24.701757,2026-09-24 12:38:03.636223,0 days 00:01:38.934466,0.8415370385645591,1.9419176541587897,0.01183927742572504,4,4.50362538008755,0.0028219531841736697,3.3440486263546014,0.8254980778607718,88,COMPLETE
6,0.22794809708785274,2026-09-24 12:38:03.695338,2026-09-24 12:39:19.043595,0 days 00:01:15.348257,0.5440754692442961,1.6195489918250479,0.02633437424081869,6,14.227684986165087,3.1814399037234966,0.5254195366757168,0.9794703768416082,26,COMPLETE
7,0.22659514094060565,2026-09-24 12:39:19.103765,2026-09-24 12:41:14.952317,0 days 00:01:55.848552,0.779256376908855,1.5803796746585805,0.02014247041501469,6,18.974963429430368,0.01917223992437525,7.048661106928525,0.7937511810867656,80,COMPLETE
8,0.22676628618521003,2026-09-24 12:41:15.002333,2026-09-24 12:42:00.447538,0 days 00:00:45.445205,0.9331475717433144,0.830052412664988,0.09521842303183951,3,2.683367538873642,0.10388433254649719,6.096499657690309,0.5829529668834427,11,COMPLETE
9,0.22753073976509114,2026-09-24 12:42:00.507618,2026-09-24 12:42:47.103111,0 days 00:00:46.595493,0.5519494102677623,0.5643585499704928,0.09666784240869884,3,3.915980261224102,0.26841976703375836,0.18362318155461763,0.7811303854082667,12,COMPLETE
10,0.22309024117601223,2026-09-24 12:42:47.153185,2026-09-24 12:43:36.894076,0 days 00:00:49.740891,0.6692605273397564,0.002896558021762252,0.05069339402395378,2,1.652409562667185,0.0001086849895365813,12.059741438067542,0.6403101201079645,31,COMPLETE
11,0.23058750621899476,2026-09-24 12:43:36.943972,2026-09-24 12:45:06.556636,0 days 00:01:29.612664,0.9921170487126745,0.37138239830798336,0.010061960497929932,4,8.112425632653352,0.002185801179641814,16.783349345149116,0.505096679481438,69,COMPLETE
