date,active_stocks
2010-01-31,394
2010-02-28,394
2010-03-31,392
2010-04-30,390
2010-05-31,388
2010-06-30,384
2010-07-31,381
2010-08-31,381
2010-09-30,380
2010-10-31,376
2010-11-30,374
2010-12-31,371
2011-01-31,368
2011-02-28,365
2011-03-31,365
2011-04-30,364
2011-05-31,361
2011-06-30,357
2011-07-31,357
2011-08-31,357
2011-09-30,355
2011-10-31,351
2011-11-30,348
2011-12-31,347
2012-01-31,344
2012-02-29,342
2012-03-31,340
2012-04-30,340
2012-05-31,339
2012-06-30,337
2012-07-31,335
2012-08-31,334
2012-09-30,334
2012-10-31,331
2012-11-30,331
2012-12-31,326
2013-01-31,325
2013-02-28,325
2013-03-31,325
2013-04-30,324
2013-05-31,322
2013-06-30,321
2013-07-31,321
2013-08-31,320
2013-09-30,319
2013-10-31,318
2013-11-30,316
2013-12-31,316
2014-01-31,315
2014-02-28,315
2014-03-31,314
2014-04-30,314
2014-05-31,313
2014-06-30,313
2014-07-31,313
2014-08-31,312
2014-09-30,312
2014-10-31,310
2014-11-30,309
2014-12-31,305
2015-01-31,303
2015-02-28,299
2015-03-31,297
2015-04-30,296
2015-05-31,298
2015-06-30,294
2015-07-31,291
2015-08-31,288
2015-09-30,288
2015-10-31,287
2015-11-30,286
2015-12-31,283
2016-01-31,277
2016-02-29,273
2016-03-31,272
2016-04-30,268
2016-05-31,268
2016-06-30,266
2016-07-31,263
2016-08-31,262
2016-09-30,260
2016-10-31,260
2016-11-30,258
2016-12-31,259
2017-01-31,259
2017-02-28,258
2017-03-31,258
2017-04-30,260
2017-05-31,260
2017-06-30,258
2017-07-31,257
2017-08-31,257
2017-09-30,256
2017-10-31,254
2017-11-30,253
2017-12-31,252
2018-01-31,252
2018-02-28,250
2018-03-31,248
2018-04-30,247
2018-05-31,245
2018-06-30,243
2018-07-31,243
2018-08-31,243
2018-09-30,242
2018-10-31,241
2018-11-30,239
2018-12-31,241
2019-01-31,239
2019-02-28,237
2019-03-31,236
2019-04-30,237
2019-05-31,237
2019-06-30,237
2019-07-31,238
2019-08-31,238
2019-09-30,236
2019-10-31,234
2019-11-30,233
2019-12-31,232
2020-01-31,231
2020-02-29,230
2020-03-31,228
2020-04-30,227
2020-05-31,226
2020-06-30,227
2020-07-31,227
2020-08-31,225
2020-09-30,225
2020-10-31,226
2020-11-30,227
2020-12-31,226
2021-01-31,227
2021-02-28,228
2021-03-31,229
2021-04-30,229
2021-05-31,230
2021-06-30,231
2021-07-31,233
2021-08-31,232
2021-09-30,228
2021-10-31,230
2021-11-30,224
2021-12-31,226
2022-01-31,226
2022-02-28,226
2022-03-31,224
2022-04-30,223
2022-05-31,223
2022-06-30,221
2022-07-31,218
2022-08-31,218
2022-09-30,218
2022-10-31,218
2022-11-30,218
2022-12-31,218
2023-01-31,218
2023-02-28,217
2023-03-31,216
2023-04-30,215
2023-05-31,214
2023-06-30,212
2023-07-31,212
2023-08-31,211
2023-09-30,210
2023-10-31,208
2023-11-30,208
2023-12-31,206
2024-01-31,204
2024-02-29,202
2024-03-31,202
2024-04-30,203
2024-05-31,202
2024-06-30,202
2024-07-31,203
2024-08-31,202
2024-09-30,201
2024-10-31,200
2024-11-30,200
2024-12-31,200
