,RSI,MACD_Hist,MACD_Hist_Slope,BB_Pct,BB_Width,Returns,Vol_20d,Vol_5d,Current_Drawdown_5d,Current_Drawdown_20d,Current_Return_5d,ADX_14,Debt_to_Equity,Net_Profit_Margin,Current_Ratio,Altman_Z,Retained_Earnings_TA,Market_Value_to_Liab,VIX_Close,SPY_Trend_50,SPY_Trend_200,VIX_5d_Delta,VIX_10d_Delta,SPY_Trend_Accel,Yield_Spread_10Y2Y,Is_Yield_Inverted,Yield_Spread_Delta_20d
RSI,1.0,0.1915341694334006,0.051850535449987495,0.8685090851392634,-0.0889950283620064,0.03802355617803256,0.037171308947465405,0.01930092972972635,0.49479420307682365,0.6679693668369318,0.07596357902457843,0.03904979212426845,0.001576109825480246,0.030870964813157847,-0.014874993744087659,-0.0030575474840273706,0.015763007138284026,-0.010785219082385599,-0.22098261692958726,0.38965235613807936,0.23802224395105145,-0.19732777657536205,-0.24729734305253137,0.24240843941253454,0.05926658771109803,-0.02603102410329359,0.09751767878133656
MACD_Hist,0.1915341694334006,1.0,0.1304011937849081,0.2346525119255821,-0.024654780335594075,0.00777815721218727,0.00642711314567063,0.005988398431312578,0.15825504262218235,0.1902882551106323,0.029583471438926087,0.001793108964853335,0.0003128385262771402,-0.00030798490033314053,-0.0006847984142857777,-0.0036567161034935895,-0.002975981891800521,-0.0031126370201151445,-0.03382516268649714,0.06452833563393064,0.013297708436255641,-0.08086219606239367,-0.12278034011783727,0.11504670657287021,-0.0007141992217406743,0.003161653064405752,-0.009381466755895055
MACD_Hist_Slope,0.051850535449987495,0.1304011937849081,1.0,0.11509386108046928,0.05952299431175853,0.03116317867983617,-0.00024660833435997736,0.006355286526686267,0.1978555949643489,0.019540891178075802,0.025647167733743488,0.0022526481370313558,0.00017168695413921994,0.0002795079707351622,-6.928158569908675e-05,0.000894310626294435,0.00035728184292786204,0.000979831949189316,-0.010061595546424423,0.003125894051702066,0.001835424632910971,-0.09699864613932681,-0.0473637539025714,0.10597364506739883,0.0007966449526770402,-0.00027865084571525875,0.01171369168914937
BB_Pct,0.8685090851392634,0.2346525119255821,0.11509386108046928,1.0,-0.03671252800399783,0.04311444371261883,0.009952720050027165,0.010489764622321816,0.5075141162925869,0.5821948697892898,0.06922080913013656,0.010052594000377571,0.0020996884132782685,0.02467551009911756,-0.011793303498786828,-0.0024574901369297003,0.008946114209306612,-0.0064664749144605705,-0.18068308001295982,0.32955525529417634,0.16902370360294447,-0.2558728964532545,-0.2999689287367299,0.32862117607007507,0.040778602165233054,-0.01777371449266181,0.08681761413042254
BB_Width,-0.0889950283620064,-0.024654780335594075,0.05952299431175853,-0.03671252800399783,1.0,0.22904813665340693,0.40510600292025584,0.39759514764541554,-0.36789327746281375,-0.5722554413008836,0.34536906690738994,0.2872851822781012,0.04525540549157861,-0.16270838880892374,0.032702158148562754,-0.037994753608184606,-0.12477909537268737,0.0015699089966715045,0.1981037671523377,-0.11913533014475691,-0.13668059241183972,-0.0074975868772925525,0.02002114205505116,0.01699908227418859,-0.06997364381851616,0.015338303939327304,-0.010716475782289011
Returns,0.03802355617803256,0.00777815721218727,0.03116317867983617,0.04311444371261883,0.22904813665340693,1.0,0.22259226193207382,0.445175402316931,0.03092020857407472,0.01870176802165868,0.3658305639379322,0.0028359855654774935,0.004786472904856764,-0.01170398063132574,0.0021249095576581375,-0.004045030562010605,-0.008148706278569184,-0.0018608573047840745,-0.005689467128576057,0.010113259274441394,0.0068748186724751185,-0.015731088865855343,-0.010904966014837163,0.015704771024412163,-0.0009839121460546029,-0.00021451646423216602,0.002841191111334879
Vol_20d,0.037171308947465405,0.00642711314567063,-0.00024660833435997736,0.009952720050027165,0.40510600292025584,0.22259226193207382,1.0,0.5012845257345822,-0.04484300948365265,-0.047880615233493386,0.4892915925269008,0.05456116130823917,0.02260785432140112,-0.060678385324440635,0.013477554732620833,-0.01955275202492329,-0.044132152053833015,-0.007165506383437524,0.014953374211530276,-0.005403906475758596,-0.0007743892930800651,-0.002974291539574783,-0.0017346049957657427,4.33856656944002e-05,-0.011226004267816473,-0.00016554541323133434,0.0029580868866134623
Vol_5d,0.01930092972972635,0.005988398431312578,0.006355286526686267,0.010489764622321816,0.39759514764541554,0.445175402316931,0.5012845257345822,1.0,-0.049954029193175944,-0.0346546083701911,0.9777888295632821,0.01768345729348177,0.011990295574856038,-0.03704084982195463,0.007491633680208233,-0.01085139917435017,-0.025288364439817794,-0.0035454426734012295,0.017011758346653715,-0.007908277103629992,-0.005724182323428579,-0.0006616650581056894,0.005694166805758335,-0.0006808457935672229,-0.007665609794603134,0.0005592783285908036,0.0001556931061413167
Current_Drawdown_5d,0.49479420307682365,0.15825504262218235,0.1978555949643489,0.5075141162925869,-0.36789327746281375,0.03092020857407472,-0.04484300948365265,-0.049954029193175944,1.0,0.7213110010529614,0.0400893175184325,-0.08085445178826041,-0.026898061546254057,0.14808055726423117,-0.04275413881538876,0.03089958562577217,0.10910716146679825,-0.005301503573671366,-0.29381534150204125,0.2735399754616526,0.2069521383842209,-0.26308344104726394,-0.23637214140437368,0.28677990920791613,0.07749325720267708,-0.02021542311529708,0.06400119694062273
Current_Drawdown_20d,0.6679693668369318,0.1902882551106323,0.019540891178075802,0.5821948697892898,-0.5722554413008836,0.01870176802165868,-0.047880615233493386,-0.0346546083701911,0.7213110010529614,1.0,0.037009030409525835,-0.20804720288495468,-0.027037457336214547,0.16423179332048035,-0.046739007493077335,0.026991039779199155,0.11874173939569187,-0.013199243478665645,-0.3138771131598316,0.34161012190964496,0.25310951423835265,-0.1368167179392774,-0.20285839238524256,0.16728483508019965,0.09455077635444518,-0.03046608855753672,0.07503405271551991
Current_Return_5d,0.07596357902457843,0.029583471438926087,0.025647167733743488,0.06922080913013656,0.34536906690738994,0.3658305639379322,0.4892915925269008,0.9777888295632821,0.0400893175184325,0.037009030409525835,1.0,0.011568537186331974,0.010596552673964688,-0.02819324679505518,0.004772179740394707,-0.00897494845950916,-0.01793823247920721,-0.004230582654115904,-0.011547561387995123,0.02204690368882888,0.01512915388645577,-0.03230463426062227,-0.02286704528972165,0.035693924498879905,-0.001607665793794037,-0.0010118968552331313,0.007353789288124905
ADX_14,0.03904979212426845,0.001793108964853335,0.0022526481370313558,0.010052594000377571,0.2872851822781012,0.0028359855654774935,0.05456116130823917,0.01768345729348177,-0.08085445178826041,-0.20804720288495468,0.011568537186331974,1.0,0.017009803324883103,-0.002051380157405928,0.005096286012360821,0.019769370021832555,-0.02849509558753123,0.029842512989410333,0.029096092760493228,-0.09070264482367664,-0.01539946846198337,0.026152146755287813,0.06633525521362194,-0.02269174724917777,0.01372243327436052,-0.009281865484141907,-0.0062644152718137345
Debt_to_Equity,0.001576109825480246,0.0003128385262771402,0.00017168695413921994,0.0020996884132782685,0.04525540549157861,0.004786472904856764,0.02260785432140112,0.011990295574856038,-0.026898061546254057,-0.027037457336214547,0.010596552673964688,0.017009803324883103,1.0,-0.08472386465142728,-0.3906396504463982,-0.5542171216751223,-0.38957575023900176,-0.5085040252395343,0.0017509102571802606,-0.00214863905692566,-0.0027336329075011356,0.0004504462315227802,0.0006906839491368466,-0.0005390257443564566,-0.06457835964355686,0.01188226673346526,-1.9093397116838193e-06
