gvkey,lpermno,lpermco,liid,linktype,linkprim,linkdt,linkenddt,cik,conm,identity_status
012825,10026,7976.0,1,LU,P,1986-02-04,,785956.0,J & J SNACK FOODS CORP,CURRENT_COMPANY_CIK_CANDIDATE_NOT_HISTORICALLY_VERIFIED
001279,10137,20045.0,1,LU,P,1962-01-31,2011-02-28,3673.0,ALLEGHENY ENERGY INC,CURRENT_COMPANY_CIK_CANDIDATE_NOT_HISTORICALLY_VERIFIED
012180,10143,8092.0,1,LC,P,1986-04-03,2010-06-08,729922.0,OSI PHARMACEUTICALS INC,CURRENT_COMPANY_CIK_CANDIDATE_NOT_HISTORICALLY_VERIFIED
012589,10693,8596.0,1,LC,P,1986-09-24,,785161.0,ENCOMPASS HEALTH CORP,CURRENT_COMPANY_CIK_CANDIDATE_NOT_HISTORICALLY_VERIFIED
013323,11343,9188.0,1,LU,P,1987-05-19,2022-07-29,812128.0,SANDERSON FARMS INC,CURRENT_COMPANY_CIK_CANDIDATE_NOT_HISTORICALLY_VERIFIED
013431,11478,9309.0,1,LC,P,1987-07-01,2013-12-16,1705873.0,BERRY CORP,CURRENT_COMPANY_CIK_CANDIDATE_NOT_HISTORICALLY_VERIFIED
023002,11644,9465.0,2,LC,P,1987-08-28,2018-08-13,,COMSTOCK RESOURCES INC -OLD,CURRENT_COMPANY_CIK_CANDIDATE_NOT_HISTORICALLY_VERIFIED
034010,11644,9465.0,1,LC,P,2018-08-14,,23194.0,COMSTOCK RESOURCES INC,CURRENT_COMPANY_CIK_CANDIDATE_NOT_HISTORICALLY_VERIFIED
014027,11809,9616.0,1,LU,P,1987-11-24,,822818.0,CLEAN HARBORS INC,CURRENT_COMPANY_CIK_CANDIDATE_NOT_HISTORICALLY_VERIFIED
014418,11891,9764.0,1,LU,P,1988-05-02,,789570.0,MGM RESORTS INTERNATIONAL,CURRENT_COMPANY_CIK_CANDIDATE_NOT_HISTORICALLY_VERIFIED
014623,12067,9903.0,1,LU,P,1988-08-11,,836106.0,NOVELLUS SYSTEMS INC,CURRENT_COMPANY_CIK_CANDIDATE_NOT_HISTORICALLY_VERIFIED
006081,12503,21265.0,1,LC,P,1962-01-31,2007-02-13,808450.0,NAVISTAR INTERNATIONAL CORP,CURRENT_COMPANY_CIK_CANDIDATE_NOT_HISTORICALLY_VERIFIED
006081,12503,21265.0,1,LC,P,2008-06-30,2021-07-30,808450.0,NAVISTAR INTERNATIONAL CORP,CURRENT_COMPANY_CIK_CANDIDATE_NOT_HISTORICALLY_VERIFIED
006335,12650,21033.0,1,LC,P,1963-01-31,2021-12-31,54480.0,KANSAS CITY SOUTHERN,CURRENT_COMPANY_CIK_CANDIDATE_NOT_HISTORICALLY_VERIFIED
010156,14656,21686.0,1,LU,P,1962-01-31,,95304.0,SUNOCO INC,CURRENT_COMPANY_CIK_CANDIDATE_NOT_HISTORICALLY_VERIFIED
010609,14816,21763.0,1,LC,P,1962-01-31,,98677.0,TOOTSIE ROLL INDUSTRIES INC,CURRENT_COMPANY_CIK_CANDIDATE_NOT_HISTORICALLY_VERIFIED
010332,15560,21711.0,1,LU,P,1965-01-29,2015-10-08,96289.0,RS LEGACY CORP,CURRENT_COMPANY_CIK_CANDIDATE_NOT_HISTORICALLY_VERIFIED
001860,15721,403.0,1,LC,P,1972-12-14,2017-10-05,8411.0,ATWOOD OCEANICS,CURRENT_COMPANY_CIK_CANDIDATE_NOT_HISTORICALLY_VERIFIED
005234,16432,20834.0,1,LU,P,1962-01-31,,42582.0,GOODYEAR TIRE & RUBBER CO,CURRENT_COMPANY_CIK_CANDIDATE_NOT_HISTORICALLY_VERIFIED
003619,17726,20537.0,1,LU,P,1962-01-31,,1219601.0,CROWN HOLDINGS INC,CURRENT_COMPANY_CIK_CANDIDATE_NOT_HISTORICALLY_VERIFIED
010801,17929,21794.0,1,LU,P,1962-01-31,,884614.0,UGI CORP,CURRENT_COMPANY_CIK_CANDIDATE_NOT_HISTORICALLY_VERIFIED
004510,19166,20681.0,1,LU,P,1962-01-31,,37785.0,FMC CORP,CURRENT_COMPANY_CIK_CANDIDATE_NOT_HISTORICALLY_VERIFIED
137611,19675,37957.0,1,LC,P,2000-07-12,2018-05-31,1734107.0,SOHU COM LIMITED,CURRENT_COMPANY_CIK_CANDIDATE_NOT_HISTORICALLY_VERIFIED
003708,19828,20550.0,3,LC,P,2008-09-30,,30697.0,WENDY'S CO,CURRENT_COMPANY_CIK_CANDIDATE_NOT_HISTORICALLY_VERIFIED
002255,20220,20306.0,1,LC,P,1962-01-31,2010-03-12,12355.0,BLACK & DECKER CORP,CURRENT_COMPANY_CIK_CANDIDATE_NOT_HISTORICALLY_VERIFIED
001045,21020,20010.0,1,LC,P,1962-01-31,2012-01-04,6201.0,AMERICAN AIRLINES GROUP INC,CURRENT_COMPANY_CIK_CANDIDATE_NOT_HISTORICALLY_VERIFIED
001045,21020,20010.0,4,LC,P,2013-12-09,,6201.0,AMERICAN AIRLINES GROUP INC,CURRENT_COMPANY_CIK_CANDIDATE_NOT_HISTORICALLY_VERIFIED
011446,21186,21913.0,1,LC,P,1962-01-31,2015-07-01,1159297.0,MEADWESTVACO CORP,CURRENT_COMPANY_CIK_CANDIDATE_NOT_HISTORICALLY_VERIFIED
029830,21186,21913.0,1,LC,P,2015-07-02,2024-07-31,1732845.0,WESTROCK CO,CURRENT_COMPANY_CIK_CANDIDATE_NOT_HISTORICALLY_VERIFIED
011296,21231,21887.0,1,LU,P,1962-01-31,2018-07-06,1103601.0,WGL HOLDINGS INC,CURRENT_COMPANY_CIK_CANDIDATE_NOT_HISTORICALLY_VERIFIED
005870,21928,20965.0,1,LU,P,1962-01-31,,1057877.0,IDACORP INC,CURRENT_COMPANY_CIK_CANDIDATE_NOT_HISTORICALLY_VERIFIED
003814,22859,20549.0,1,LC,P,1962-01-31,2011-11-25,787250.0,DPL INC,CURRENT_COMPANY_CIK_CANDIDATE_NOT_HISTORICALLY_VERIFIED
002950,22905,899.0,1,LC,P,1972-12-14,2010-03-10,19520.0,CHATTEM INC,CURRENT_COMPANY_CIK_CANDIDATE_NOT_HISTORICALLY_VERIFIED
009445,23085,21570.0,1,LU,P,1962-01-31,2019-01-31,754737.0,SCANA CORP,CURRENT_COMPANY_CIK_CANDIDATE_NOT_HISTORICALLY_VERIFIED
003439,23229,20361.0,1,LC,P,1987-05-27,,811156.0,CMS ENERGY CORP,CURRENT_COMPANY_CIK_CANDIDATE_NOT_HISTORICALLY_VERIFIED
003026,23393,1103.0,1,LU,P,1976-12-30,,313927.0,CHURCH & DWIGHT INC,CURRENT_COMPANY_CIK_CANDIDATE_NOT_HISTORICALLY_VERIFIED
008694,23501,21432.0,1,LC,P,1962-01-31,2016-03-23,1135971.0,PEPCO HOLDINGS INC,CURRENT_COMPANY_CIK_CANDIDATE_NOT_HISTORICALLY_VERIFIED
003062,23660,6304.0,1,LC,P,1983-08-19,,723254.0,CINTAS CORP,CURRENT_COMPANY_CIK_CANDIDATE_NOT_HISTORICALLY_VERIFIED
006867,23835,21132.0,1,LC,P,1962-01-31,,67716.0,MDU RESOURCES GROUP INC,CURRENT_COMPANY_CIK_CANDIDATE_NOT_HISTORICALLY_VERIFIED
135484,23887,925.0,1,LC,P,2000-08-31,2020-04-23,20520.0,FRONTIER COMMUNIC PARENT INC,CURRENT_COMPANY_CIK_CANDIDATE_NOT_HISTORICALLY_VERIFIED
006338,24053,21035.0,1,LC,P,1962-01-31,,1711269.0,EVERGY INC,CURRENT_COMPANY_CIK_CANDIDATE_NOT_HISTORICALLY_VERIFIED
001794,24272,20222.0,1,LC,P,1962-01-31,,1674862.0,ASHLAND INC,CURRENT_COMPANY_CIK_CANDIDATE_NOT_HISTORICALLY_VERIFIED
006334,24432,21032.0,1,LC,P,1962-01-31,2018-06-04,1143068.0,GREAT PLAINS ENERGY INC,CURRENT_COMPANY_CIK_CANDIDATE_NOT_HISTORICALLY_VERIFIED
008113,24440,21328.0,1,LU,P,1962-01-31,,1021635.0,OGE ENERGY CORP,CURRENT_COMPANY_CIK_CANDIDATE_NOT_HISTORICALLY_VERIFIED
008606,24459,21411.0,1,LU,P,1962-01-31,,78814.0,PITNEY BOWES INC,CURRENT_COMPANY_CIK_CANDIDATE_NOT_HISTORICALLY_VERIFIED
011555,25099,21932.0,1,LC,P,1962-01-31,2015-06-30,916863.0,INTEGRYS HOLDING INC,CURRENT_COMPANY_CIK_CANDIDATE_NOT_HISTORICALLY_VERIFIED
008151,25232,21332.0,1,LC,P,1962-01-31,,1039684.0,ONEOK INC,CURRENT_COMPANY_CIK_CANDIDATE_NOT_HISTORICALLY_VERIFIED
005496,25304,20884.0,1,LU,P,1962-01-31,,2104052.0,ENVIRI CORP,CURRENT_COMPANY_CIK_CANDIDATE_NOT_HISTORICALLY_VERIFIED
007733,25590,21255.0,1,LU,P,1962-01-31,,70145.0,NATIONAL FUEL GAS CO,CURRENT_COMPANY_CIK_CANDIDATE_NOT_HISTORICALLY_VERIFIED
141400,26382,20745.0,1,LC,P,2000-12-01,2011-06-01,37748.0,MASSEY ENERGY CO,CURRENT_COMPANY_CIK_CANDIDATE_NOT_HISTORICALLY_VERIFIED
004351,26470,20649.0,1,LU,P,1962-01-31,2018-11-30,277595.0,ENERGEN CORP,CURRENT_COMPANY_CIK_CANDIDATE_NOT_HISTORICALLY_VERIFIED
005301,26657,20844.0,1,LC,P,1962-01-31,2010-12-10,43300.0,GREAT ATLANTIC & PAC TEA CO,CURRENT_COMPANY_CIK_CANDIDATE_NOT_HISTORICALLY_VERIFIED
001919,27684,20239.0,1,LU,P,1962-01-31,,8858.0,AVNET INC,CURRENT_COMPANY_CIK_CANDIDATE_NOT_HISTORICALLY_VERIFIED
001075,27991,21409.0,1,LU,P,1962-01-31,,764622.0,PINNACLE WEST CAPITAL CORP,CURRENT_COMPANY_CIK_CANDIDATE_NOT_HISTORICALLY_VERIFIED
001773,29209,20217.0,1,LU,P,1966-04-29,,7536.0,ARROW ELECTRONICS INC,CURRENT_COMPANY_CIK_CANDIDATE_NOT_HISTORICALLY_VERIFIED
002435,29946,20340.0,1,LU,P,1962-07-02,,14693.0,BROWN FORMAN CORP,CURRENT_COMPANY_CIK_CANDIDATE_NOT_HISTORICALLY_VERIFIED
003246,30680,20484.0,1,LU,C,1962-07-02,,22444.0,COMMERCIAL METALS,CURRENT_COMPANY_CIK_CANDIDATE_NOT_HISTORICALLY_VERIFIED
005581,32707,20902.0,1,LU,P,1962-07-02,,46765.0,HELMERICH & PAYNE,CURRENT_COMPANY_CIK_CANDIDATE_NOT_HISTORICALLY_VERIFIED
005667,32803,20922.0,1,LC,P,1965-11-30,,1915657.0,HF SINCLAIR CORP,CURRENT_COMPANY_CIK_CANDIDATE_NOT_HISTORICALLY_VERIFIED
005764,32942,20945.0,1,LC,P,1962-07-02,,48898.0,HUBBELL INC,CURRENT_COMPANY_CIK_CANDIDATE_NOT_HISTORICALLY_VERIFIED
004383,32986,6748.0,1,LU,P,1983-12-28,,731802.0,ATMOS ENERGY CORP,CURRENT_COMPANY_CIK_CANDIDATE_NOT_HISTORICALLY_VERIFIED
007085,34032,21161.0,1,LU,P,1962-07-02,,62996.0,MASCO CORP,CURRENT_COMPANY_CIK_CANDIDATE_NOT_HISTORICALLY_VERIFIED
008304,35051,21360.0,1,LC,P,1962-07-02,2015-08-28,75829.0,PALL CORP,CURRENT_COMPANY_CIK_CANDIDATE_NOT_HISTORICALLY_VERIFIED
010277,37161,21700.0,1,LC,P,1962-07-02,2016-06-30,350563.0,TECO ENERGY INC,CURRENT_COMPANY_CIK_CANDIDATE_NOT_HISTORICALLY_VERIFIED
004844,37234,1807.0,1,LC,P,1972-12-14,2014-12-16,,FOREST OIL CORP -OLD,CURRENT_COMPANY_CIK_CANDIDATE_NOT_HISTORICALLY_VERIFIED
010466,37284,21732.0,1,LC,P,1966-01-31,2018-09-28,50104.0,ANDEAVOR,CURRENT_COMPANY_CIK_CANDIDATE_NOT_HISTORICALLY_VERIFIED
011096,37807,21856.0,1,LC,P,1963-12-31,2017-05-31,102741.0,VALSPAR CORP,CURRENT_COMPANY_CIK_CANDIDATE_NOT_HISTORICALLY_VERIFIED
007824,38658,21269.0,1,LC,P,1962-11-19,2013-12-19,741508.0,NV ENERGY INC,CURRENT_COMPANY_CIK_CANDIDATE_NOT_HISTORICALLY_VERIFIED
005116,38659,5242.0,1,LU,P,1981-12-22,,355811.0,GENTEX CORP,CURRENT_COMPANY_CIK_CANDIDATE_NOT_HISTORICALLY_VERIFIED
007974,38762,21244.0,1,LU,P,1962-12-19,,1111711.0,NISOURCE INC,CURRENT_COMPANY_CIK_CANDIDATE_NOT_HISTORICALLY_VERIFIED
005824,38973,20953.0,1,LC,P,1963-03-25,2010-02-26,1084230.0,PEPSIAMERICAS INC,CURRENT_COMPANY_CIK_CANDIDATE_NOT_HISTORICALLY_VERIFIED
006078,40272,20991.0,1,LC,P,1964-03-02,,51253.0,INTL FLAVORS & FRAGRANCES,CURRENT_COMPANY_CIK_CANDIDATE_NOT_HISTORICALLY_VERIFIED
005526,41187,20890.0,1,LU,P,1964-10-13,,354707.0,HAWAIIAN ELECTRIC INDS,CURRENT_COMPANY_CIK_CANDIDATE_NOT_HISTORICALLY_VERIFIED
011343,42059,21900.0,1,LU,P,1965-06-04,,105418.0,WEIS MARKETS INC,CURRENT_COMPANY_CIK_CANDIDATE_NOT_HISTORICALLY_VERIFIED
001239,42083,8127.0,1,LC,P,1965-06-11,2011-05-10,1368457.0,ALBERTO-CULVER CO,CURRENT_COMPANY_CIK_CANDIDATE_NOT_HISTORICALLY_VERIFIED
004145,42200,20616.0,1,LU,P,1965-07-06,,31791.0,REVVITY INC,CURRENT_COMPANY_CIK_CANDIDATE_NOT_HISTORICALLY_VERIFIED
004462,42550,20672.0,1,LU,P,1965-10-14,,1282637.0,NEWMARKET CORP,CURRENT_COMPANY_CIK_CANDIDATE_NOT_HISTORICALLY_VERIFIED
007260,42796,21189.0,1,LU,P,1965-12-09,2021-12-31,65011.0,MEREDITH CORP,CURRENT_COMPANY_CIK_CANDIDATE_NOT_HISTORICALLY_VERIFIED
005783,42877,6606.0,1,LU,P,1983-11-22,,728535.0,HUNT (JB) TRANSPRT SVCS INC,CURRENT_COMPANY_CIK_CANDIDATE_NOT_HISTORICALLY_VERIFIED
010405,43123,21722.0,1,LU,P,1966-05-02,,1018963.0,ATI INC -NEW,CURRENT_COMPANY_CIK_CANDIDATE_NOT_HISTORICALLY_VERIFIED
010016,43350,21664.0,1,LC,P,1966-06-15,,93556.0,STANLEY BLACK & DECKER INC,CURRENT_COMPANY_CIK_CANDIDATE_NOT_HISTORICALLY_VERIFIED
006830,43721,21123.0,1,LC,P,1966-08-22,2011-09-16,60751.0,LUBRIZOL CORP,CURRENT_COMPANY_CIK_CANDIDATE_NOT_HISTORICALLY_VERIFIED
002154,43772,20292.0,1,LU,P,1966-09-13,2019-06-28,11199.0,BEMIS CO INC,CURRENT_COMPANY_CIK_CANDIDATE_NOT_HISTORICALLY_VERIFIED
007970,44206,21299.0,1,LC,P,1967-02-20,,72741.0,EVERSOURCE ENERGY,CURRENT_COMPANY_CIK_CANDIDATE_NOT_HISTORICALLY_VERIFIED
010407,44329,21723.0,1,LU,P,1967-04-24,,96943.0,TELEFLEX INC,CURRENT_COMPANY_CIK_CANDIDATE_NOT_HISTORICALLY_VERIFIED
010190,44951,21692.0,1,LC,P,1967-09-13,2018-10-31,95521.0,SUPERVALU INC,CURRENT_COMPANY_CIK_CANDIDATE_NOT_HISTORICALLY_VERIFIED
009258,45495,21532.0,1,LC,P,1967-12-29,2019-04-30,85408.0,ROWAN COMPANIES LTD,CURRENT_COMPANY_CIK_CANDIDATE_NOT_HISTORICALLY_VERIFIED
001327,45911,20058.0,1,LU,P,1968-03-13,,4127.0,SKYWORKS SOLUTIONS INC,CURRENT_COMPANY_CIK_CANDIDATE_NOT_HISTORICALLY_VERIFIED
007866,47466,21280.0,1,LU,P,1969-01-14,,71691.0,NEW YORK TIMES CO  -CL A,CURRENT_COMPANY_CIK_CANDIDATE_NOT_HISTORICALLY_VERIFIED
003036,47677,20448.0,1,LC,P,1969-02-06,2021-09-30,716133.0,CINCINNATI BELL INC,CURRENT_COMPANY_CIK_CANDIDATE_NOT_HISTORICALLY_VERIFIED
004988,47941,20782.0,1,LC,P,1969-03-10,,39899.0,TEGNA INC,CURRENT_COMPANY_CIK_CANDIDATE_NOT_HISTORICALLY_VERIFIED
006529,48267,5995.0,1,LC,P,1983-05-13,2014-05-06,703360.0,LSI CORP,CURRENT_COMPANY_CIK_CANDIDATE_NOT_HISTORICALLY_VERIFIED
007904,48274,21293.0,1,LC,P,1969-05-02,2011-12-30,72020.0,NICOR INC,CURRENT_COMPANY_CIK_CANDIDATE_NOT_HISTORICALLY_VERIFIED
006565,48486,7013.0,1,LC,P,1984-05-04,,707549.0,LAM RESEARCH CORP,CURRENT_COMPANY_CIK_CANDIDATE_NOT_HISTORICALLY_VERIFIED
006573,48523,2600.0,1,LU,P,1972-12-14,,57515.0,MARZETTI CO (THE),CURRENT_COMPANY_CIK_CANDIDATE_NOT_HISTORICALLY_VERIFIED
006574,48531,2689.0,1,LU,P,1972-12-14,2018-03-29,57528.0,SNYDERS-LANCE INC,CURRENT_COMPANY_CIK_CANDIDATE_NOT_HISTORICALLY_VERIFIED
008577,49971,21404.0,1,LC,P,1970-02-04,2016-10-03,78460.0,PIEDMONT NATURAL GAS CO,CURRENT_COMPANY_CIK_CANDIDATE_NOT_HISTORICALLY_VERIFIED
010565,50606,21752.0,1,LC,P,1970-05-19,2017-07-31,98222.0,TIDEWATER INC,CURRENT_COMPANY_CIK_CANDIDATE_NOT_HISTORICALLY_VERIFIED
010565,50606,21752.0,2,LC,P,2017-08-01,,98222.0,TIDEWATER INC,CURRENT_COMPANY_CIK_CANDIDATE_NOT_HISTORICALLY_VERIFIED
007772,51377,21261.0,1,LC,P,1970-10-20,2011-09-30,70530.0,NATIONAL SEMICONDUCTOR CORP,CURRENT_COMPANY_CIK_CANDIDATE_NOT_HISTORICALLY_VERIFIED
005918,51633,20976.0,1,LU,P,1970-12-08,2019-02-28,1096385.0,VECTREN CORP,CURRENT_COMPANY_CIK_CANDIDATE_NOT_HISTORICALLY_VERIFIED
