cell,target,prep,seed,n_test,threshold,val_mcc,mcc,pr_auc,roc_auc,precision,recall,cagr,max_drawdown,calmar,turnover
A,vol_adj,xs,42,150930,0.043546097416720414,0.04149026824646708,0.09230341584901472,0.18464206692541027,0.5998662904020549,0.14942595432503006,0.8933934678098825,0.06192208862455817,-0.22875655952194335,0.270689893019738,0.35405583627028503
A,vol_adj,xs,43,150930,0.28794891370528924,0.04813142873229047,0.04985548862202653,0.18600545247399738,0.6079320522988918,0.2620609803164801,0.03365217822272885,0.058013316810250126,-0.22507156771830156,0.25775497722066476,0.3421105583249126
A,vol_adj,xs,44,150930,0.05178331125147617,0.05003016884210888,0.09790488717261289,0.18367884573259624,0.6035828275508842,0.15943777650769458,0.7465926550032215,0.05978825546715694,-0.22430024197499737,0.26655457408655625,0.32683053993040995
B,vol_adj,level,42,150930,0.12235783676964934,0.18590836985382558,0.14234037685838652,0.20436966481772464,0.6506644603024432,0.2071044697863416,0.46984189919214947,0.08511527271839103,-0.20708307816652421,0.4110199320581195,0.3683416947045795
B,vol_adj,level,43,150930,0.1494298710917626,0.18791809911342225,0.13007032373918603,0.2048557816997294,0.6520485346557341,0.2171054615639796,0.35679238737175994,0.0853404853002413,-0.20911692233585047,0.4080993749667993,0.3681401421862538
B,vol_adj,level,44,150930,0.1420280947219145,0.18891581453875686,0.12934951274944714,0.20397632358766443,0.6506922955342955,0.2111651144478536,0.3854388660355851,0.08385495203917603,-0.21645771101046402,0.3873964648694003,0.3843229342730603
C,fixed,xs,42,150930,0.18990567539659745,0.24322720594831135,0.20193952094882076,0.37215294785730735,0.6366769152248332,0.4327482761708606,0.2795049018190231,0.02176830885507619,-0.21943654907139978,0.09920092594963871,0.16449217065310207
C,fixed,xs,43,150930,0.20829068803365555,0.23693566296757387,0.20173003068513187,0.36751832572895776,0.6319274915768431,0.43722359294260044,0.2716099366667631,0.02010650299772898,-0.219451738144093,0.09162152538763198,0.16442811588718942
C,fixed,xs,44,150930,0.2200561619202541,0.2435836948112646,0.1980931877353184,0.37315735346328904,0.639644739113816,0.4517610198789974,0.24185199109285982,0.016321714352987682,-0.22241565192533494,0.07338383882473744,0.16726287422354855
D,fixed,level,42,150930,0.3759500532814405,0.21892851628939572,0.20463373811858313,0.3892871853875646,0.6868857228686518,0.4629588431590656,0.24072413892825126,0.04321445920693989,-0.21972111626833396,0.19667868041487793,0.2172964572414552
D,fixed,level,43,150930,0.3488423816758492,0.21924140303694284,0.20315336380263396,0.3842871233237374,0.6765629146482186,0.45069195284469504,0.2542872841898262,0.031034334530818608,-0.22861748109684107,0.13574786312019876,0.2161932294169947
D,fixed,level,44,150930,0.3390914233693438,0.21586818403385027,0.20223941171220122,0.3803099122360903,0.6727474202006861,0.4347885340480625,0.27678648890945373,0.035062632928092974,-0.21976094103424645,0.15954897518676436,0.21348813021063784
