fusion,mean,std,min,max,n,metric
concat,0.08819665962316595,0.01839481806342707,0.06145440535242187,0.10704069271558184,5,test_mcc
film,0.0917817329519194,0.023841430266861183,0.06004363178565627,0.12379718369543179,5,test_mcc
gated_cross_attention,0.08343974825168253,0.012552576005594375,0.0668376307051419,0.10188771509688618,5,test_mcc
static_context,0.08544813511003238,0.015813850114477116,0.06794197717316977,0.10180592340715763,5,test_mcc
concat,0.17017623207769497,0.006887637056441088,0.15917298175096958,0.17808025861479093,5,test_pr_auc
film,0.17910820040258651,0.006386395482202443,0.17097843580547792,0.18749765523878084,5,test_pr_auc
gated_cross_attention,0.1714279836658566,0.006724822988350074,0.1657006192734092,0.18114233708462865,5,test_pr_auc
static_context,0.1789172569777846,0.0063463658168228946,0.1707043368448415,0.1882627060358283,5,test_pr_auc
concat,0.24694303549300828,0.01488897161863259,0.22666098288776568,0.26373053133616514,5,test_f1
film,0.2274573852278489,0.0540131142317613,0.13762305896681215,0.27382974091008055,5,test_f1
gated_cross_attention,0.23483329385680157,0.03464378044560445,0.173570355249355,0.2585740382106116,5,test_f1
static_context,0.21433755939374102,0.04310678906461017,0.15967938883496666,0.2597564297109062,5,test_f1
concat,0.12683624799558002,0.012825536373856215,0.11658887701267337,0.14423971771537886,5,val_mcc
film,0.14588033055688074,0.02478922061357708,0.12367957150808134,0.17401088315643573,5,val_mcc
gated_cross_attention,0.13746538900702493,0.012928425312182553,0.11867623925456337,0.15421281075631002,5,val_mcc
static_context,0.14314401825777226,0.01747989407747975,0.1153330821815247,0.1606781773208822,5,val_mcc
