date,buy_hold_10,model_seed42_10,model_seed43_10,model_seed44_10,model_seed45_10,model_seed46_10,naive_vol_10,oracle_10,buy_hold_25,model_seed42_25,model_seed43_25,model_seed44_25,model_seed45_25,model_seed46_25,naive_vol_25,oracle_25,buy_hold_50,model_seed42_50,model_seed43_50,model_seed44_50,model_seed45_50,model_seed46_50,naive_vol_50,oracle_50
2022-01-03,0.9995,1.0,1.0,1.0,1.0,1.0,0.9995,1.0,0.99875,1.0,1.0,1.0,1.0,1.0,0.99875,1.0,0.9975,1.0,1.0,1.0,1.0,1.0,0.9975,1.0
2022-01-04,1.0053081836392035,1.0,1.0,1.0,1.0,1.0,1.004808573508995,1.0,1.0045538253223156,1.0,1.0,1.0,1.0,1.0,1.0040545900871525,1.0,1.0032965614608358,1.0,1.0,1.0,1.0,1.0,1.002797951050748,1.0
2022-01-05,0.985091497092312,1.0,1.0,1.0,1.0,1.0,0.9886716099878323,1.0,0.9843523088753843,1.0,1.0,1.0,1.0,1.0,0.9879297353430191,1.0,0.983120328513838,1.0,1.0,1.0,1.0,1.0,0.9866932776016637,1.0
2022-01-06,0.9856630018603912,1.0,1.0,1.0,1.0,1.0,0.987002982737802,1.0,0.9849233848004659,1.0,1.0,1.0,1.0,1.0,0.9862623601894744,1.0,0.9836906897005904,1.0,1.0,1.0,1.0,1.0,0.9850279892755954,1.0
2022-01-07,0.9817757031387045,1.0,1.0,1.0,1.0,1.0,0.9820077588184196,1.0,0.9810390030112867,1.0,1.0,1.0,1.0,1.0,0.9812708845621777,1.0,0.9798111694655903,1.0,1.0,1.0,1.0,1.0,0.9800427608017747,1.0
2022-01-10,0.9777460939570433,1.0,1.0,1.0,1.0,1.0,0.9776976884328147,1.0,0.977012417548371,1.0,1.0,1.0,1.0,1.0,0.976964048346447,1.0,0.9757896235339173,1.0,1.0,1.0,1.0,1.0,0.9757413148691675,1.0
2022-01-11,0.9900104194038942,1.0,1.0,1.0,1.0,1.0,0.9872173609320625,1.0,0.989267540149714,1.0,1.0,1.0,1.0,1.0,0.9864765775196573,1.0,0.9880294080594139,1.0,1.0,1.0,1.0,1.0,0.9852419384989821,1.0
2022-01-12,0.9887778904446456,1.0,1.0,1.0,1.0,1.0,0.9860939880558893,1.0,0.9880359360496144,1.0,1.0,1.0,1.0,1.0,0.9853540475946169,1.0,0.9867993453912293,1.0,1.0,1.0,1.0,1.0,0.9841208134924961,1.0
2022-01-13,0.9855476646818369,1.0,1.0,1.0,1.0,1.0,0.9852043313232126,1.0,0.9848081341680683,1.0,1.0,1.0,1.0,1.0,0.9844650584382778,1.0,0.9835755833117878,1.0,1.0,1.0,1.0,1.0,0.9832329369633865,1.0
2022-01-14,0.9854932226876013,1.0,1.0,1.0,1.0,1.0,0.9849794580915067,1.0,0.9847537330257544,1.0,1.0,1.0,1.0,1.0,0.9842403539458653,1.0,0.98352125025601,1.0,1.0,1.0,1.0,1.0,0.9830085137031297,1.0
2022-01-18,0.9673947034403527,1.0,1.0,1.0,1.0,1.0,0.9672368660230459,1.0,0.9666687944582811,1.0,1.0,1.0,1.0,1.0,0.9665110754782563,1.0,0.965458946154829,1.0,1.0,1.0,1.0,1.0,0.9653014245702737,1.0
2022-01-19,0.9594776134667362,1.0,1.0,1.0,1.0,1.0,0.9588544850479516,1.0,0.9587576452725388,1.0,1.0,1.0,1.0,1.0,0.9581349844338586,1.0,0.9575576982822103,1.0,1.0,1.0,1.0,1.0,0.9569358167437038,1.0
2022-01-20,0.943295855367968,1.0,1.0,1.0,1.0,1.0,0.9444720962491934,1.0,0.9425880295635395,1.0,1.0,1.0,1.0,1.0,0.9437633878227933,1.0,0.9414083198894926,1.0,1.0,1.0,1.0,1.0,0.9425822071121267,1.0
2022-01-21,0.9277203933654732,1.0,1.0,1.0,1.0,1.0,0.9312754750628954,1.0,0.9270242550012666,1.0,1.0,1.0,1.0,1.0,0.9305766690535936,1.0,0.9258640243942564,1.0,1.0,1.0,1.0,1.0,0.9294119923714241,1.0
2022-01-24,0.9384264148936593,1.0,1.0,1.0,1.0,1.0,0.9427603566036911,1.0,0.9377222429965402,1.0,1.0,1.0,1.0,1.0,0.9420529326242485,1.0,0.9365486231680089,1.0,1.0,1.0,1.0,1.0,0.9408738926585113,1.0
2022-01-25,0.929754460120676,1.0,1.0,1.0,1.0,1.0,0.9304505730945731,1.0,0.9290567954432465,1.0,1.0,1.0,1.0,1.0,0.9297523860712404,1.0,0.9278940209808645,1.0,1.0,1.0,1.0,1.0,0.928588741032353,1.0
2022-01-26,0.9185045788538163,1.0,1.0,1.0,1.0,1.0,0.9192269386811435,1.0,0.9178153558081529,1.0,1.0,1.0,1.0,1.0,0.9185371735945892,1.0,0.9166666507320476,1.0,1.0,1.0,1.0,1.0,0.9173875651169991,1.0
2022-01-27,0.9101586936532081,1.0,1.0,1.0,1.0,1.0,0.9133240280248353,1.0,0.9094757331527177,1.0,1.0,1.0,1.0,1.0,0.9126386923359721,1.0,0.9083374656519008,1.0,1.0,1.0,1.0,1.0,0.9114964661878671,1.0
2022-01-28,0.9238767549656557,1.0,1.0,1.0,1.0,1.0,0.9279554842751939,1.0,0.9231835007723346,1.0,1.0,1.0,1.0,1.0,0.9272591695046021,1.0,0.9220280771167997,1.0,1.0,1.0,1.0,1.0,0.9260986448869494,1.0
2022-01-31,0.9435834344163999,1.0,1.0,1.0,1.0,1.0,0.9446095457108724,1.0,0.942875392819789,1.0,1.0,1.0,1.0,1.0,0.9439007341458066,1.0,0.9416953234921047,1.0,1.0,1.0,1.0,1.0,0.9427193815373639,1.0
2022-02-01,0.9549951180568906,0.9995,0.9995,0.9995,0.9995,0.9995,0.9512885038273307,0.9995,0.9542785134160272,0.99875,0.99875,0.99875,0.99875,0.99875,0.9504330954276933,0.99875,0.9530841723479221,0.9975,0.9975,0.9975,0.9975,0.9975,0.9490078873026748,0.9975
2022-02-02,0.9563164442551549,1.003643756502866,1.0040546155582288,1.0036222763417253,1.0043434779997293,1.0043048747729961,0.9562757093062086,1.0007999012477171,0.9555988481238976,1.0028906471308028,1.0033011978877249,1.002869183087842,1.0035898435740167,1.003551269314187,0.955415816360148,1.0000489258340743,0.9544028545718027,1.0016354648440309,1.0020455017702183,1.0016140276647034,1.002333786197829,1.0022952602161717,0.9539831364684247,0.99879730014467
2022-02-03,0.9444998464823243,0.9910260479286969,0.9921888302521631,0.9907240704311405,0.9908446509036147,0.9917308868661994,0.9437166742922222,0.9896342868791901,0.9437911172328375,0.990282406572072,0.991444316372534,0.989980655670937,0.9901011456628166,0.9909867166159246,0.9428680745595233,0.9888916898655237,0.9426099018170268,0.9890430043110306,0.9902034599064858,0.9887416310705981,0.9888619702614865,0.9897464328654665,0.941454210451521,0.9876540281760801
2022-02-04,0.9418706416273029,0.9877165129965052,0.9889772994240851,0.987766952188008,0.9877767277107494,0.989294827669422,0.9376669120153246,0.9885962673247868,0.9411638852679024,0.986975355032776,0.9882351953975036,0.9870257563759609,0.9870355245633926,0.988552485377524,0.9368237522910423,0.9878544492152382,0.9399859580022356,0.985740091759894,0.9869983553532014,0.9857904300225495,0.9858001859844648,0.9873152482243606,0.9354189518585883,0.9866180856993244
2022-02-07,0.9408565160863237,0.9856075348294363,0.9856173155946737,0.9850150871664249,0.9839450555757544,0.9861470164286618,0.9367012730694544,0.987535037589895,0.9401505207015662,0.9848679593905949,0.9848777328165884,0.9842759562856097,0.9832067276200948,0.9854070361762141,0.9358589816576367,0.9867940158008078,0.9389738617269712,0.9836353336591924,0.9836450948531134,0.9830440714842513,0.9819761810273288,0.9841737357554677,0.9344556279329542,0.985558979485663
2022-02-08,0.9530362904418427,0.9997174075308347,0.9981855639949796,0.998628512463495,0.996955155087075,0.9997159891488553,0.9507342284935005,1.0024916757088862,0.9523211556566183,0.9989672443936181,0.9974365503151432,0.9978791664061187,0.9962070646755539,0.9989658270759572,0.94987931850394,1.0017394308296648,0.9511292643479119,0.9977169724982569,0.996188194182083,0.9966302563104918,0.9949602473230188,0.9977155569544602,0.9484549407870534,1.000485689364296
2022-02-09,0.9712955271104293,1.019863614701271,1.0180315920422895,1.0188043145782761,1.016846218710177,1.0207903597220775,0.9672627547483374,1.0224470019552698,0.9705666910470645,1.0190983343500695,1.0172676863954342,1.018039829099603,1.0160832025380582,1.0200243839644072,0.9663929821380944,1.0216797830943727,0.9693519642747905,1.017822867098067,1.0159945103173424,1.0167656866351482,1.0148115089178604,1.018747757701623,0.9649438415970821,1.020401084992878
2022-02-10,0.9578528854050383,1.0042210233650681,1.0031102814146295,1.0034682655134484,1.002230250272766,1.0055840771309685,0.9513713679185706,1.008119405335005,0.9571341363664649,1.003467480826275,1.0023575723490357,1.0027152878254695,1.0014782015607053,1.0048295117904502,0.9505158850066908,1.0073629375471098,0.9559362213021767,1.002211576594953,1.0011030572397128,1.0014603250121712,1.0002247870406045,1.003571902889586,0.9490905527357631,1.0061021579006177
2022-02-11,0.9516373228718935,0.998192978522819,0.995599983025734,0.9960581843076849,0.9951482059715492,0.9994834392780533,0.9431814212325375,1.0024100238986837,0.9509232378372219,0.997443959279305,0.9948529095017026,0.9953107669607809,0.9944014714498095,0.9987334517048082,0.942333302804891,1.0016578402889547,0.94973309611277,0.9961955938734487,0.9936077869616505,0.9940650713826074,0.9931569139135771,0.9974834724160662,0.9409202406060955,1.0004042009394065
2022-02-14,0.9459981404905292,0.991434799034896,0.9886866229784487,0.9894202367932209,0.9880457244765237,0.9923300666878995,0.9383023148919877,0.9966423272368733,0.9452882869583948,0.990690850961583,0.9879447370682596,0.9886778003974283,0.9873043194806682,0.9915854468279537,0.9374585838069083,0.9958944715636089,0.9441051977381718,0.9894509375060618,0.9867082605512781,0.9874404064044404,0.9860686444875761,0.9903444137280437,0.9360528314220876,0.9946480454415018
2022-02-15,0.9655863151830144,1.0116311555146826,1.0093112231909895,1.0094301951443974,1.0085803505469666,1.0121381561870777,0.9567971225369624,1.019266053423677,0.9648617631706204,1.0108720525965873,1.0085538610925469,1.0086727437723533,1.0078235368772213,1.011378672828258,0.9559367607307657,1.0185012214676312,0.9636541764832983,1.0096068810664292,1.0072915909284763,1.007410324818946,1.0065621807609795,1.010112867230225,0.954503299664488,1.0172265015408883
2022-02-16,0.967599268119488,1.0129926903362958,1.0106659961974755,1.0105353209577417,1.0100918483590362,1.0130291395662026,0.9576779137401193,1.0242971557159584,0.9668732056371567,1.0122325657562532,1.009907617510984,1.0097770403267081,1.0093339004988366,1.0122689876355626,0.9568167599174204,1.0235285485455863,0.9656631014999391,1.010965691456183,1.0086436530334986,1.008513239274985,1.008070654065171,1.0110020677511624,0.9553819792611611,1.0222475365949661
2022-02-17,0.9540280363296302,0.996140035574136,0.9929068894014866,0.9941998136363263,0.9923872671809418,0.998151748916971,0.9430453280327021,1.0111909206681815,0.9533121573628991,0.995392556808072,0.9921618367080887,0.9934537907646634,0.9916426043991651,0.9974027606111304,0.9421973319814597,1.010432148091392,0.9521190257516817,0.994146758864633,0.9909200822190924,0.9922104193118916,0.9904014997628706,0.9961544467680624,0.9407844736757347,1.0091675271300762
2022-02-18,0.9433494111579664,0.9859781605848107,0.9829755285641328,0.9845613394591874,0.9822232963350528,0.9877303354901148,0.9353633000066389,1.0010942411988635,0.9426415451666018,0.9852383070375982,0.9822379281174862,0.9838225490593935,0.9814862603448062,0.9869891671543294,0.9345222117139506,1.0003430449198247,0.9414617685143285,0.9840052177922448,0.9810085940397423,0.982591231726403,0.9802578670277288,0.9857538865946867,0.9331208625231947,0.999091051121427
2022-02-22,0.9325351916522827,0.9736895720777781,0.9714898659587473,0.9728194905400165,0.9702851511970647,0.9750559890540003,0.9255127306142501,0.9907472363685926,0.9318354403829083,0.9729589395824718,0.9707608840683329,0.9720895109323079,0.9695570732947156,0.9743243312332995,0.9246805000547998,0.9900038042252444,0.9306691882672855,0.9717412187569622,0.9695459142509759,0.9708728782527931,0.9683436101241338,0.9731049015321311,0.9232939088596233,0.9887647506529976
2022-02-23,0.9197055706155491,0.9590128060564698,0.9585398253379571,0.959400502703119,0.9573324188824647,0.9618081107954338,0.9124010757784409,0.9774263445310952,0.919015446375467,0.9582931866422201,0.957820560836703,0.9586805923709258,0.956614060389056,0.9610863938538665,0.9115806353537759,0.9766929080544585,0.9178652393086645,0.9570938209518046,0.9566217866679462,0.95748074181727,0.9554167962333749,0.9598835322845873,0.9102136878701854,0.9754705139267309
2022-02-24,0.933052085762092,0.9767943618355674,0.9768499649571353,0.9769464528357688,0.9746134374401765,0.9794414730241925,0.9230184915620955,0.9945043459617405,0.932351946628203,0.9760613995830644,0.9761169609814294,0.9762133764579533,0.9738821116992258,0.978706524445135,0.922188503848036,0.9937580945765765,0.9311850480717225,0.9748397958288931,0.9748952876885867,0.9749915824949269,0.9726632354643079,0.9774816101467052,0.9208056494895273,0.9925143422679702
2022-02-25,0.9552438365749611,1.000903517946214,1.0004837369346953,1.0007876546357994,0.9985831493997256,1.0037184476594594,0.9490428411211109,1.0188216712830476,0.9545270453018929,1.0001524647811717,0.9997329987629082,1.000036688411711,0.9978338373816666,1.0029652822410058,0.9481894520444591,1.0180571727803338,0.9533323931801138,0.9989007095061018,0.9984817684765969,0.9987850780382292,0.996584984018235,1.0017100065435824,0.9467676083422439,1.0167830086091445
