date,permno,ticker,prc,cfacpr,ret,retx,raw_close,adjusted_close,raw_price_return,adjusted_price_return,factor_changed,return_difference
2009-11-05,29938,BF,51.76,3.767464,0.013932,0.013932,51.76,13.738684696124501,,,,
2009-11-06,29938,BF,51.89,3.767464,0.002512,0.002512,51.89,13.773190666188185,0.002511591962905735,0.002511591962905735,False,0.0
2009-11-09,29938,BF,52.82,3.767464,0.017923,0.017923,52.82,14.020041067412986,0.01792252842551556,0.01792252842551534,False,2.220446049250313e-16
2009-11-10,29938,BF,53.262,3.767464,0.008368,0.008368,53.262,14.137361365629506,0.008368042408178678,0.008368042408178678,False,0.0
2009-11-11,29938,BF,53.5,3.767464,0.004468,0.004468,53.5,14.20053383389994,0.004468476587435655,0.004468476587435655,False,0.0
2009-11-12,29938,BF,53.09,3.767464,-0.007664,-0.007664,53.09,14.091707312929866,-0.00766355140186914,-0.007663551401869029,False,-1.1102230246251565e-16
2009-11-13,29938,BF,53.87,3.767464,0.014692,0.014692,53.87,14.298743133311957,0.014692032397815025,0.014692032397814803,False,2.220446049250313e-16
2009-11-16,29938,BF,53.96,3.767464,0.001671,0.001671,53.96,14.322631881817584,0.001670688695006639,0.001670688695006639,False,0.0
2009-11-17,29938,BF,54.13,3.767464,0.003151,0.003151,54.13,14.367755073439323,0.003150481838398944,0.003150481838398944,False,0.0
2009-11-18,29938,BF,53.7,3.767464,-0.007944,-0.007944,53.7,14.25361994169022,-0.007943838906336542,-0.007943838906336653,False,1.1102230246251565e-16
2009-11-19,29938,BF,53.16,3.767464,-0.010056,-0.010056,53.16,14.110287450656463,-0.010055865921787865,-0.010055865921787754,False,-1.1102230246251565e-16
2009-11-20,29938,BF,53.39,3.767464,0.004327,0.004327,53.39,14.171336474615286,0.004326561324303979,0.004326561324303979,False,0.0
2009-11-23,29938,BF,54.32,3.767464,0.017419,0.017419,54.32,14.418186875840089,0.017418992320659354,0.017418992320659354,False,0.0
2009-11-24,29938,BF,53.93,3.767464,-0.00718,-0.00718,53.93,14.314668965649041,-0.007179675994108958,-0.007179675994109069,False,1.1102230246251565e-16
2009-11-25,29938,BF,53.5,3.767464,-0.007973,-0.007973,53.5,14.20053383389994,-0.007973298720563737,-0.007973298720563626,False,-1.1102230246251565e-16
2009-11-27,29938,BF,52.61,3.767464,-0.016636,-0.016636,52.61,13.964300654233192,-0.016635514018691566,-0.016635514018691677,False,1.1102230246251565e-16
2009-11-30,29938,BF,53.5,3.767464,0.016917,0.016917,53.5,14.20053383389994,0.016916935943736888,0.01691693594373711,False,-2.220446049250313e-16
2009-12-01,29938,BF,53.7001,3.767464,0.00374,0.00374,53.7001,14.253646484744115,0.0037401869158877332,0.0037401869158879553,False,-2.220446049250313e-16
2009-12-02,29938,BF,53.727,3.767464,0.000501,0.000501,53.727,14.260786566241906,0.0005009301658656096,0.0005009301658656096,False,0.0
2009-12-03,29938,BF,53.73,3.767464,0.00564,5.6e-05,53.73,14.26158285785876,5.583784689267013e-05,5.583784689267013e-05,False,0.0
2009-12-04,29938,BF,54.95,3.767464,0.022706,0.022706,54.95,14.58540811537947,0.022706123208635853,0.022706123208635853,False,0.0
2009-12-07,29938,BF,55.19,3.767464,0.004368,0.004368,55.19,14.649111444727806,0.00436760691537752,0.00436760691537752,False,0.0
2009-12-08,29938,BF,54.75,3.767464,-0.007972,-0.007972,54.75,14.53232200758919,-0.00797245877876418,-0.00797245877876418,False,0.0
2009-12-09,29938,BF,54.615,3.767464,-0.002466,-0.002466,54.615,14.496488884830752,-0.002465753424657491,-0.002465753424657491,False,0.0
2009-12-10,29938,BF,54.9,3.767464,0.005218,0.005218,54.9,14.5721365884319,0.005218346608074631,0.005218346608074631,False,0.0
2009-12-11,29938,BF,55.69,3.767464,0.01439,0.01439,55.69,14.781826714203506,0.014389799635701195,0.014389799635701195,False,0.0
2009-12-14,29938,BF,55.675,3.767464,-0.000269,-0.000269,55.675,14.777845256119235,-0.0002693481774106443,-0.0002693481774106443,False,0.0
2009-12-15,29938,BF,55.96,3.767464,0.005119,0.005119,55.96,14.853492959720386,0.005118994162550683,0.005118994162550683,False,0.0
