date,close,ticker,permno,prc,cfacpr,ret,retx,raw_close,adjusted_close,raw_price_return,adjusted_price_return,factor_changed,return_difference,_merge
2015-08-04,1.51,ACI,75326,1.51,1.0,-0.162042,-0.162042,1.51,1.51,7.379578246392898,-0.1620421753607102,True,7.541620421753608,both
2018-07-02,101.74,ALV,84656,101.74,1.0,0.008169,0.008169,101.74,101.74,-0.28962435414048315,0.008169378857701304,True,-0.29779373299818446,both
2011-05-23,47.33,ALXN,83111,47.33,1.0,-0.009625,-0.009625,47.33,47.33,-0.5048127223268466,-0.009625444653693305,True,-0.4951872776731533,both
2010-12-22,39.3,AME,85257,39.3,1.5,-0.015038,-0.015038,39.3,26.2,-0.343358395989975,-0.015037593984962516,True,-0.32832080200501246,both
2012-07-02,33.51,AME,85257,33.51,1.0,0.007113,0.007113,33.51,33.51,-0.32859146463634537,0.007112803045481897,True,-0.33570426768182726,both
2017-05-15,62.93,ASH,24272,62.93,1.0,0.034603,0.034603,62.93,62.93,-0.48312114989733057,0.034603314004106656,True,-0.5177244639014372,both
2012-03-14,26.21,ATLS,91376,26.21,1.0,0.020997,0.020997,26.21,26.21,-0.061246418338108954,0.020996844197707754,True,-0.08224326253581671,both
2014-12-17,56.12,BEAV,76138,56.12,1.0,0.040003,0.040003,56.12,56.12,-0.24539464837972313,0.04000237784052696,True,-0.2853970262202501,both
2011-02-16,36.83,BLL,57568,36.83,2.0,-0.000949,-0.000949,36.83,18.415,-0.5004747050047471,-0.0009494100094942226,True,-0.4995252949952529,both
2017-05-17,39.98,BLL,57568,39.98,1.0,-0.010519,-0.010519,39.98,39.98,-0.5052592500928104,-0.010518500185620727,True,-0.49474074990718964,both
2013-12-17,55.39,BWA,79545,55.39,1.170218,0.012707,0.012707,55.39,47.33306101939981,-0.4936465856111162,0.012706828777767631,True,-0.5063534143888838,both
2023-07-05,43.18,BWA,79545,43.18,1.0,0.01222,0.01222,43.18,43.18,-0.13501602564102566,0.012219816506410242,True,-0.1472358421474359,both
2016-10-05,19.71,CBB,47677,19.71,1.0,-0.03145,-0.03145,19.71,19.71,3.8427518427518423,-0.03144963144963142,True,3.874201474201474,both
2015-06-18,64.25,CF,90829,64.25,1.0,0.014431,0.014431,64.25,64.25,-0.7971137993278324,0.01443100336083769,True,-0.8115448026886701,both
2011-06-02,40.75,CHD,23393,40.75,2.0,-0.006098,-0.006098,40.75,20.375,-0.5030487804878049,-0.0060975609756097615,True,-0.4969512195121951,both
2016-09-02,49.97,CHD,23393,49.97,1.0,0.001905,0.001905,49.97,49.97,-0.4990476190476191,0.0019047619047618536,True,-0.5009523809523809,both
