ablation,seed,reused,report,dataset_hash_verified,test_mcc,test_pr_auc,test_roc_auc
tech_only,42,False,\\nas.ads.mwn.de\go39lop\Desktop\Archive\results\purged_tech_only_seed42_20260916T152334Z_a510e05e\experiment_report.json,True,0.09940812149557414,0.17727875354854725,0.6141287146720511
multi_pure,42,True,\\nas.ads.mwn.de\go39lop\Desktop\Archive\results\purged_I_II_20260916T125022Z_71e5782e\experiment_report.json,False,0.11947711186155296,0.1964072893662723,0.6359358887989882
multi_text,42,False,\\nas.ads.mwn.de\go39lop\Desktop\Archive\results\purged_multi_text_seed42_20260916T155932Z_908edbad\experiment_report.json,True,0.13756198004843828,0.19856415694760668,0.6447086605477792
tech_only,43,False,\\nas.ads.mwn.de\go39lop\Desktop\Archive\results\purged_tech_only_seed43_20260916T164909Z_83f504e7\experiment_report.json,True,0.11523144532518034,0.1902582891754763,0.6316783422052672
multi_pure,43,True,\\nas.ads.mwn.de\go39lop\Desktop\Archive\results\purged_I_II_seed43_20260916T143133Z_083865f8\experiment_report.json,False,0.12552776560584314,0.1938561004310708,0.6345768971083732
multi_text,43,False,\\nas.ads.mwn.de\go39lop\Desktop\Archive\results\purged_multi_text_seed43_20260916T171556Z_e37ac17d\experiment_report.json,True,0.10589463087953434,0.18006346064713188,0.615367391262067
tech_only,44,False,\\nas.ads.mwn.de\go39lop\Desktop\Archive\results\purged_tech_only_seed44_20260916T183225Z_6d627507\experiment_report.json,True,0.14096980225682965,0.20001730141095028,0.6504746024096097
multi_pure,44,False,\\nas.ads.mwn.de\go39lop\Desktop\Archive\results\purged_multi_pure_seed44_20260916T185606Z_48428ad9\experiment_report.json,True,0.13794128784775037,0.2054915824111594,0.6487539682179597
multi_text,44,False,\\nas.ads.mwn.de\go39lop\Desktop\Archive\results\purged_multi_text_seed44_20260916T194001Z_7dbe1b6a\experiment_report.json,True,0.13710197766938462,0.20721528756627064,0.6535802996154825
tech_only,45,False,\\nas.ads.mwn.de\go39lop\Desktop\Archive\results\purged_tech_only_seed45_20260916T202202Z_ae8ed5b8\experiment_report.json,True,0.13088749474221673,0.19348052531973048,0.6384939751861936
multi_pure,45,False,\\nas.ads.mwn.de\go39lop\Desktop\Archive\results\purged_multi_pure_seed45_20260916T205240Z_58ed76a6\experiment_report.json,True,0.13010707991765444,0.19611962360567226,0.637102513766042
multi_text,45,False,\\nas.ads.mwn.de\go39lop\Desktop\Archive\results\purged_multi_text_seed45_20260916T214520Z_14c055de\experiment_report.json,True,0.15683708986737602,0.21189134219136277,0.6642525622872966
tech_only,46,False,\\nas.ads.mwn.de\go39lop\Desktop\Archive\results\purged_tech_only_seed46_20260916T222737Z_ae17aea2\experiment_report.json,True,0.13110419039619073,0.19888350737315727,0.6458295672668903
multi_pure,46,False,\\nas.ads.mwn.de\go39lop\Desktop\Archive\results\purged_multi_pure_seed46_20260916T225115Z_5afe7530\experiment_report.json,True,0.13532094270478448,0.20364248936634266,0.6485984280934048
multi_text,46,False,\\nas.ads.mwn.de\go39lop\Desktop\Archive\results\purged_multi_text_seed46_20260916T233519Z_6fa3adac\experiment_report.json,True,0.14923981342250123,0.20839527983575945,0.6533527931646412
tech_only,47,False,\\nas.ads.mwn.de\go39lop\Desktop\Archive\results\purged_tech_only_seed47_20260917T002340Z_c93f0f5e\experiment_report.json,True,0.11286435079141276,0.19350123379330825,0.6367534042925632
multi_pure,47,False,\\nas.ads.mwn.de\go39lop\Desktop\Archive\results\purged_multi_pure_seed47_20260917T005118Z_064a55c1\experiment_report.json,True,0.13321720061719736,0.20124719814008116,0.6448398564619996
multi_text,47,False,\\nas.ads.mwn.de\go39lop\Desktop\Archive\results\purged_multi_text_seed47_20260917T013512Z_ef74ebf6\experiment_report.json,True,0.1534367660845595,0.20952733909509563,0.6611390482091087
tech_only,48,False,\\nas.ads.mwn.de\go39lop\Desktop\Archive\results\purged_tech_only_seed48_20260917T021632Z_75334997\experiment_report.json,True,0.123712879051219,0.19057666931866374,0.6334469308425806
multi_pure,48,False,\\nas.ads.mwn.de\go39lop\Desktop\Archive\results\purged_multi_pure_seed48_20260917T024844Z_abb80ad3\experiment_report.json,True,0.10355064892474532,0.17784925678100158,0.6154436164532912
multi_text,48,False,\\nas.ads.mwn.de\go39lop\Desktop\Archive\results\purged_multi_text_seed48_20260917T041241Z_30604337\experiment_report.json,True,0.1419567108097266,0.2038249959644841,0.6509847088769047
tech_only,49,False,\\nas.ads.mwn.de\go39lop\Desktop\Archive\results\purged_tech_only_seed49_20260917T045727Z_1c3b8e91\experiment_report.json,True,0.09354309016761993,0.1769240409275096,0.6136583524121716
multi_pure,49,False,\\nas.ads.mwn.de\go39lop\Desktop\Archive\results\purged_multi_pure_seed49_20260917T054815Z_71e426cd\experiment_report.json,True,0.1324086040562739,0.19799446990720782,0.6440793842273487
multi_text,49,False,\\nas.ads.mwn.de\go39lop\Desktop\Archive\results\purged_multi_text_seed49_20260917T063632Z_cd54333c\experiment_report.json,True,0.14037698369640847,0.20614117879808802,0.6519888652418093
tech_only,50,False,\\nas.ads.mwn.de\go39lop\Desktop\Archive\results\purged_tech_only_seed50_20260917T071844Z_94c4fa05\experiment_report.json,True,0.1370924696650225,0.19879291926773485,0.6441124633563845
multi_pure,50,False,\\nas.ads.mwn.de\go39lop\Desktop\Archive\results\purged_multi_pure_seed50_20260917T074208Z_f5c53b2a\experiment_report.json,True,0.12200590138676898,0.18798737398115378,0.626287410739715
multi_text,50,False,\\nas.ads.mwn.de\go39lop\Desktop\Archive\results\purged_multi_text_seed50_20260917T083700Z_f0255936\experiment_report.json,True,0.13753692803131903,0.1957524894095306,0.6385693903478145
tech_only,51,False,\\nas.ads.mwn.de\go39lop\Desktop\Archive\results\purged_tech_only_seed51_20260917T093212Z_9ad94357\experiment_report.json,True,0.1429545428612905,0.20250869492156873,0.6502527892711849
multi_pure,51,False,\\nas.ads.mwn.de\go39lop\Desktop\Archive\results\purged_multi_pure_seed51_20260917T095310Z_ec2c653c\experiment_report.json,True,0.11490870978771743,0.18459578526673429,0.6219925731325822
multi_text,51,False,\\nas.ads.mwn.de\go39lop\Desktop\Archive\results\purged_multi_text_seed51_20260917T111207Z_8e2f1e2e\experiment_report.json,True,0.12318109928120387,0.20280676935210534,0.6440905309432474
tech_only,52,False,\\nas.ads.mwn.de\go39lop\Desktop\Archive\results\purged_tech_only_seed52_20260917T120302Z_eadd7a2e\experiment_report.json,True,0.14131217701537693,0.19948913483237032,0.64943623129537
multi_pure,52,False,\\nas.ads.mwn.de\go39lop\Desktop\Archive\results\purged_multi_pure_seed52_20260917T122402Z_81ceee1c\experiment_report.json,True,0.11641722722837686,0.18628546168900106,0.6278301362831311
