feature,mean_abs_shap
Vol_5d,0.05295623657484431
Rel_MACD_Ratio,0.03426565131881663
Dist_to_Max252d,0.031215822737206744
Price_vs_SMA200,0.01990541041715181
Rel_ATR_Ratio,0.019851044429152052
MACD_Hist_Rel,0.017596175495723378
Vol_20d,0.017134044336044412
TXT_DaysSinceFiling,0.014782887315413126
Rel_RSI,0.014548065551817568
Price_vs_SMA50,0.012392323913451082
Rel_ROC_10,0.012112583524498937
Price_vs_Max20d,0.00877667259783345
WILLR_14,0.008557434087527993
Net_Profit_Margin_TTM,0.007621815781669208
Rel_Vol_20d,0.007589459482927617
Returns,0.007562621094325575
TXT_LenChange,0.007465470149719176
Current_Return_5d,0.006958045720239378
Altman_Z_TTM_Proxy,0.006891455600306925
BB_Pct,0.006838340598365107
ROC_10,0.00680540082238428
BB_Width,0.00664551235118811
Current_Drawdown_5d,0.006529678640782678
EK_DaysSince,0.006460787236520955
LM_WordCount,0.0063393905979431805
Current_Drawdown_20d,0.006194733008937973
Rel_Returns,0.006093159021826773
RSI_vs_Max20d,0.005767932189172952
ADX_14,0.005749178935579408
Rel_Volume,0.005595273127450014
Vol_Trend,0.005394413070105418
CCI_14,0.005343914397590639
MACD_Hist_Slope_Rel,0.00515241649747066
MFI_14,0.005063432988611948
EK_Activity_60d,0.004911639856424509
LM_Negative,0.0047649128333397996
Market_Value_to_Liab_QuarterEnd,0.004631412540441256
RSI,0.004551170389156221
TXT_SimPrev,0.004303218335443549
LM_Uncertainty,0.004130606687511409
EK_ListingWarn,0.004088077134311459
RSI_Divergence,0.003960500860918754
OBV_Z20,0.003950682804244951
LM_Constraining,0.0039224603115186624
Liabilities_to_Assets,0.0034928710537300975
Retained_Earnings_TA,0.003491612456992475
Vol_Dist_Ratio,0.003445127417857968
LM_Litigious,0.0032475071774283847
EK_MgmtChange,0.003199833141321286
LM_Positive,0.0030281473710571435
EK_Impairment,0.0026581178080999084
EK_DebtTrigger,0.0025976911571171505
EK_Restatement,0.0025855669382407035
Current_Ratio,0.0024801367250951055
TXT_HasCoverage,0.0024800155571490803
EK_AuditorChange,0.0024546125991023594
EK_Bankruptcy,0.0019591950674818686
