strategy,total_return,cagr,ann_vol,sharpe,sortino,max_drawdown,calmar,n_days,fold,window,exclude_pct,bh_window_return,exposure,turnover
buy_hold,-0.1461083836340965,-0.2505624387639953,0.21667640080783515,-1.2228527019434023,-2.020900368278384,-0.18948875687970254,-1.3223076814159775,138,F2015,2015-07-29→2016-02-12,20.0,-0.1349740890226594,1.0,0.07142857142857142
I+II_seed42,-0.17560971781050205,-0.2971683404402403,0.2152844206258153,-1.5299113989232211,-2.423780530631828,-0.20118820512061922,-1.477066412825134,138,F2015,2015-07-29→2016-02-12,20.0,-0.1349740890226594,1.0,0.20873918074288528
I+II_seed43,-0.1810366441386857,-0.3055941357501265,0.21249633395699116,-1.6094464893042508,-2.5518135311476167,-0.2070221058490491,-1.4761425331696296,138,F2015,2015-07-29→2016-02-12,20.0,-0.1349740890226594,1.0,0.21119674017277731
I+II_seed44,-0.18026828159635877,-0.3044039772395922,0.21881869981070673,-1.5489747433089096,-2.4578992082624667,-0.20234943409611553,-1.5043480531554194,138,F2015,2015-07-29→2016-02-12,20.0,-0.1349740890226594,1.0,0.22361680899052067
I+II+IV_seed42,-0.17827752643552275,-0.3013161000892576,0.21647037640926695,-1.5476460702435688,-2.433409420319861,-0.19959711705251473,-1.5096215042523895,138,F2015,2015-07-29→2016-02-12,20.0,-0.1349740890226594,1.0,0.20928514959120892
I+II+IV_seed43,-0.17502601147186736,-0.29625934583909397,0.22215113698070535,-1.4701464666305184,-2.393031404087509,-0.19603937958601242,-1.511223645293725,138,F2015,2015-07-29→2016-02-12,20.0,-0.1349740890226594,1.0,0.21857000342131191
I+II+IV_seed44,-0.15659009317837158,-0.26727631337062585,0.2163734070662052,-1.3289603008241964,-2.1653304866861336,-0.18002771392638753,-1.4846398231769684,138,F2015,2015-07-29→2016-02-12,20.0,-0.1349740890226594,1.0,0.2235093927410002
naive_vol,-0.1409123817077661,-0.24221384616273822,0.18272708851691227,-1.4261858097334408,-2.211959099759325,-0.16699114112342367,-1.4504592551033424,138,F2015,2015-07-29→2016-02-12,20.0,-0.1349740890226594,1.0,0.147805073150459
oracle,0.012996626407221656,0.023860276995925744,0.216252697385926,0.21625885478213602,0.3680977654151414,-0.11200645589267724,0.21302590824575568,138,F2015,2015-07-29→2016-02-12,20.0,-0.1349740890226594,1.0,0.21009484504882867
buy_hold,-0.19118479724613058,-0.572045868739112,0.22899192364481796,-3.5875278849084666,-5.574923404716791,-0.23392120490201393,-2.4454639286709106,63,F2018,2018-10-01→2018-12-31,20.0,-0.19382483976393405,1.0,0.12500000000000003
I+II_seed42,-0.1790071221077174,-0.5456844952599837,0.22950022215185445,-3.3193338865199777,-5.087261557274773,-0.2195931148670175,-2.484979984870849,63,F2018,2018-10-01→2018-12-31,20.0,-0.19382483976393405,1.0,0.2458778605354059
I+II_seed43,-0.185295559191339,-0.5594447973585799,0.2312907574378953,-3.424487619713438,-5.186874587719099,-0.22691493598502974,-2.4654384028536938,63,F2018,2018-10-01→2018-12-31,20.0,-0.19382483976393405,1.0,0.2406762737478411
I+II_seed44,-0.18345226699120243,-0.5554441704241708,0.2327504518195069,-3.3627945198195293,-5.172135152063948,-0.22563850862226636,-2.461655033157575,63,F2018,2018-10-01→2018-12-31,20.0,-0.19382483976393405,1.0,0.2419648639896373
I+II+IV_seed42,-0.1757066419265877,-0.5383347332802035,0.2275236767577878,-3.279814173420902,-4.9165641348036555,-0.2162675227395089,-2.489207470733458,63,F2018,2018-10-01→2018-12-31,20.0,-0.19382483976393405,1.0,0.2471731973229706
I+II+IV_seed43,-0.18045356528975132,-0.5488777358900199,0.2283542718088212,-3.3679359678147596,-5.140743803586022,-0.2213382445693222,-2.4798142632694176,63,F2018,2018-10-01→2018-12-31,20.0,-0.19382483976393405,1.0,0.24716645077720206
I+II+IV_seed44,-0.17892920546496593,-0.5455120027599987,0.2315807886489473,-3.2858548650180768,-4.940817444685703,-0.2203816501525592,-2.4753059176313816,63,F2018,2018-10-01→2018-12-31,20.0,-0.19382483976393405,1.0,0.2536633743523316
naive_vol,-0.14767151029479564,-0.4722502683038292,0.20953366991799077,-2.9432526974171624,-4.422584643373416,-0.18974540955606276,-2.488862678726869,63,F2018,2018-10-01→2018-12-31,20.0,-0.19382483976393405,1.0,0.21208441278065632
oracle,-0.15510602011316466,-0.49042412064225116,0.22565280372103474,-2.8726356017523837,-4.364905882102363,-0.19788289889180788,-2.47835524640454,63,F2018,2018-10-01→2018-12-31,20.0,-0.19382483976393405,1.0,0.24328044041450775
buy_hold,-0.2540526025020102,-0.8205221474021397,0.7833938775716806,-1.7966580574297182,-2.5937771136045633,-0.40667084433230344,-2.017656684361826,43,F2020,2020-02-13→2020-04-15,20.0,-0.255139680795369,1.0,0.16666666666666663
I+II_seed42,-0.24426708655690055,-0.806276689821752,0.7645755827176101,-1.7609129018129617,-2.611341260974024,-0.3962154223950089,-2.0349452450589633,43,F2020,2020-02-13→2020-04-15,20.0,-0.255139680795369,1.0,0.24658469945355188
I+II_seed43,-0.24679867319428728,-0.8100489682148456,0.7720936755654546,-1.7619743509253551,-2.638086994295355,-0.3996225751798588,-2.027035053888699,43,F2020,2020-02-13→2020-04-15,20.0,-0.255139680795369,1.0,0.24652530292230934
I+II_seed44,-0.2395688780841042,-0.7991112612418275,0.768649582107539,-1.7011074149404841,-2.544097803788155,-0.3925891968426762,-2.035489686594862,43,F2020,2020-02-13→2020-04-15,20.0,-0.255139680795369,1.0,0.23566563712679178
I+II+IV_seed42,-0.24277087615678072,-0.8040181478727338,0.7679430208178905,-1.734961063761639,-2.57985893403042,-0.3972166788827148,-2.02412987826761,43,F2020,2020-02-13→2020-04-15,20.0,-0.255139680795369,1.0,0.2520095826403738
I+II+IV_seed43,-0.2486939364586871,-0.8128330175232957,0.7736983177785643,-1.7755985978964195,-2.632688018297347,-0.40099689506548475,-2.02703070154834,43,F2020,2020-02-13→2020-04-15,20.0,-0.255139680795369,1.0,0.2610972519204878
I+II+IV_seed44,-0.24489650531096763,-0.8072203297993301,0.775300136366706,-1.732345313728657,-2.564541841504811,-0.3995061370837044,-2.020545505738255,43,F2020,2020-02-13→2020-04-15,20.0,-0.255139680795369,1.0,0.25018808901560147
naive_vol,-0.23071280041649178,-0.7850063346744659,0.7398195492544775,-1.7051627499951878,-2.541090795260151,-0.38042075467080727,-2.0635213116954203,43,F2020,2020-02-13→2020-04-15,20.0,-0.255139680795369,1.0,0.2374871307515641
oracle,-0.22872238396002753,-0.781725801118442,0.7471831294674897,-1.660799444369978,-2.4413778861897817,-0.3773785346818233,-2.071463343238463,43,F2020,2020-02-13→2020-04-15,20.0,-0.255139680795369,1.0,0.2665815316385523
