mode,seed,threshold,minutes,val_mcc,val_pr_auc,val_roc_auc,val_precision,val_recall,test_mcc,test_pr_auc,test_roc_auc,test_precision,test_recall
uniform,45,0.5346437356623519,53.0,0.0893682275174549,0.1600727344731271,0.5731671987380129,0.1719741202461732,0.3938276958658572,0.1508330465326808,0.2088419702558737,0.6575699615059069,0.2102790952207223,0.4666295602894297
uniform,46,0.5081776403603346,47.5,0.076960429867226,0.1583814440654071,0.5676385228667377,0.1557975797579757,0.5117808615206707,0.1521167479108521,0.2103152485218588,0.6590419978626509,0.194311126027857,0.5858928300359257
sampler,42,0.6889219233004944,55.7,0.087302627521073,0.1679303212208196,0.5766833738288076,0.1626849792049521,0.486267707429893,0.1356383805942842,0.1991119362580252,0.6401383052438724,0.1894320191954043,0.5472853311744168
sampler,43,0.6888521543075409,50.4,0.0924286584929782,0.1640853130371607,0.5763247037346098,0.1677971490647024,0.4577189939288811,0.1268160842302665,0.1992412695777878,0.6396467921040527,0.1889696855227122,0.5062490512574002
sampler,44,0.7156200301402986,65.3,0.0806272618941731,0.1558914300003793,0.5630552988186812,0.1691479040513867,0.3654235328129517,0.1169459190003758,0.1885604373052309,0.6284137663668079,0.1982668887269699,0.3855183929565349
sampler,45,0.6944958409956067,65.1,0.0647884633815024,0.1508041187991883,0.5532753627993477,0.1526793780609576,0.4641514888696155,0.1218685470622109,0.1917637034841884,0.6288428694886996,0.1850357934517969,0.5153063806102313
sampler,46,0.6726571025098844,50.5,0.0742279909067028,0.1562541899829641,0.5624872242258891,0.1562836666822802,0.4822925701069673,0.1387994456296242,0.2074492633061813,0.6493210886775994,0.1895466102417965,0.5620604159287558
uniform,42,0.5443854492085433,89.7,0.0982887870003469,0.16404371250056698,0.5760583589082364,0.17804397768296684,0.3920930904885805,0.12488597544240954,0.19251839140032792,0.6363579219239703,0.19902959262106074,0.41926832970702826
uniform,43,0.5363219298008692,47.6,0.0767382882410489,0.15826302233118145,0.5628942928875721,0.16297711028156378,0.4070540618675918,0.14661575134995972,0.2054766640239448,0.6544121208826458,0.20275155446301307,0.4966351262460153
uniform,44,0.5198816440177203,47.6,0.07182592287225777,0.153661034230266,0.5528154970614174,0.1661660587856683,0.3358629661751951,0.14291341333537036,0.2081547160559876,0.6520638063618608,0.21708601521357518,0.39422152507210445
