cell,seed,n_features,threshold,minutes,best_iteration,val_roc_auc,val_pr_auc,val_accuracy,val_mcc,val_precision,val_recall,val_f1,test_roc_auc,test_pr_auc,test_accuracy,test_mcc,test_precision,test_recall,test_f1
I,42,32,0.25036367543764343,0.11,143,0.6449838681125224,0.21315187220322251,0.7145078080216783,0.1676153783720736,0.2262984465714734,0.46739694062743065,0.3049499925993276,0.6367837010383864,0.19911169373943483,0.6508839601414336,0.13347214740786165,0.1945793542519327,0.5161648330438139,0.2826193212591976
I,43,32,0.23563034337524802,0.11,129,0.6442614954901493,0.2130168568433772,0.6713161597387483,0.1620010718247823,0.21135719804275044,0.5319548872180451,0.30251760109108333,0.6345260459131076,0.19717884874837563,0.5982835101253616,0.13054940308094998,0.18474568594592147,0.5904748118123915,0.28143650601993997
I,44,32,0.22597486503247838,0.1,92,0.6452625132328917,0.2121729671831805,0.6559867289687158,0.16352762154776332,0.2082760284714682,0.5595022037853253,0.3035535315527579,0.6301713721947075,0.19397238831441174,0.5767277402764385,0.13331951030692288,0.18262141932579212,0.6263269639065817,0.28278867102396515
I,45,32,0.25429736125092944,0.1,145,0.6447604027827966,0.213578916483611,0.7272837812016885,0.16598123740039425,0.23012976480129765,0.44140523723100855,0.3025322079075966,0.6360137771616069,0.19894210027487672,0.6648601735776277,0.12932509182738022,0.19561551433389546,0.48697162709901565,0.2791122173822858
I,46,32,0.24406269719219928,0.11,120,0.6442687985591193,0.21342528172876804,0.6923865274713822,0.1623858283656739,0.21712797871738268,0.49727767695099817,0.30227335408376343,0.6339757238860351,0.19780357949627494,0.6243008678881389,0.12950402482166273,0.1883799325798136,0.5500868558193399,0.28064992614475626
II,42,6,0.6313817784140341,0.08,196,0.504704057894417,0.1404099461263908,0.8612013409994963,0.022719455403523915,0.21756894790602654,0.013806066891366348,0.025964527335893217,0.5346091029168184,0.14856031190545504,0.8664802314368371,0.024624055351439755,0.3770491803278688,0.0033294730746960045,0.006600660066006601
II,43,6,0.6299961159460521,0.09,199,0.5032062263686287,0.1391616460645863,0.861157914850006,0.023194317575035664,0.21875,0.014065335753176044,0.026431181485992692,0.5335708359707515,0.14823290578603246,0.8664802314368371,0.024624055351439755,0.3770491803278688,0.0033294730746960045,0.006600660066006601
II,44,6,0.6302785873413086,0.09,180,0.5034140919477997,0.13991153143351476,0.8612013409994963,0.022719455403523915,0.21756894790602654,0.013806066891366348,0.025964527335893217,0.5326293310259623,0.14767875830040922,0.8664802314368371,0.024624055351439755,0.3770491803278688,0.0033294730746960045,0.006600660066006601
II,45,6,0.630241580033382,0.08,185,0.5035892762201986,0.13999825179284153,0.8616269172645,0.025175511064641914,0.22903225806451613,0.013806066891366348,0.026042303460080695,0.5325881280990407,0.1478665347956028,0.8664802314368371,0.024624055351439755,0.3770491803278688,0.0033294730746960045,0.006600660066006601
II,46,6,0.625903933542628,0.08,199,0.5046497725826469,0.13968084849572296,0.8607323385850023,0.02087816278845333,0.2084534101825168,0.014065335753176044,0.02635254113789544,0.5333628242952173,0.14843054498665217,0.8664802314368371,0.024624055351439755,0.3770491803278688,0.0033294730746960045,0.006600660066006601
