cell,seed,n_features,threshold,minutes,best_iteration,val_roc_auc,val_pr_auc,val_accuracy,val_mcc,val_precision,val_recall,val_f1,test_roc_auc,test_pr_auc,test_accuracy,test_mcc,test_precision,test_recall,test_f1
I,42,32,0.2503636754376434,0.11,143,0.6449838681125224,0.2131518722032225,0.7145078080216783,0.1676153783720736,0.2262984465714734,0.4673969406274306,0.3049499925993276,0.6367837010383864,0.1991116937394348,0.6508839601414336,0.1334721474078616,0.1945793542519327,0.5161648330438139,0.2826193212591976
I,43,32,0.235630343375248,0.11,129,0.6442614954901493,0.2130168568433772,0.6713161597387483,0.1620010718247823,0.2113571980427504,0.5319548872180451,0.3025176010910833,0.6345260459131076,0.1971788487483756,0.5982835101253616,0.1305494030809499,0.1847456859459214,0.5904748118123915,0.2814365060199399
I,44,32,0.2259748650324783,0.1,92,0.6452625132328917,0.2121729671831805,0.6559867289687158,0.1635276215477633,0.2082760284714682,0.5595022037853253,0.3035535315527579,0.6301713721947075,0.1939723883144117,0.5767277402764385,0.1333195103069228,0.1826214193257921,0.6263269639065817,0.2827886710239651
I,45,32,0.2542973612509294,0.1,145,0.6447604027827966,0.213578916483611,0.7272837812016885,0.1659812374003942,0.2301297648012976,0.4414052372310085,0.3025322079075966,0.6360137771616069,0.1989421002748767,0.6648601735776277,0.1293250918273802,0.1956155143338954,0.4869716270990156,0.2791122173822858
I,46,32,0.2440626971921992,0.11,120,0.6442687985591193,0.213425281728768,0.6923865274713822,0.1623858283656739,0.2171279787173826,0.4972776769509981,0.3022733540837634,0.6339757238860351,0.1978035794962749,0.6243008678881389,0.1295040248216627,0.1883799325798136,0.5500868558193399,0.2806499261447562
II,42,6,0.6313817784140341,0.08,196,0.504704057894417,0.1404099461263908,0.8612013409994963,0.0227194554035239,0.2175689479060265,0.0138060668913663,0.0259645273358932,0.5346091029168184,0.148560311905455,0.8664802314368371,0.0246240553514397,0.3770491803278688,0.003329473074696,0.0066006600660066
II,43,6,0.6299961159460521,0.09,199,0.5032062263686287,0.1391616460645863,0.861157914850006,0.0231943175750356,0.21875,0.014065335753176,0.0264311814859926,0.5335708359707515,0.1482329057860324,0.8664802314368371,0.0246240553514397,0.3770491803278688,0.003329473074696,0.0066006600660066
II,44,6,0.6302785873413086,0.09,180,0.5034140919477997,0.1399115314335147,0.8612013409994963,0.0227194554035239,0.2175689479060265,0.0138060668913663,0.0259645273358932,0.5326293310259623,0.1476787583004092,0.8664802314368371,0.0246240553514397,0.3770491803278688,0.003329473074696,0.0066006600660066
II,45,6,0.630241580033382,0.08,185,0.5035892762201986,0.1399982517928415,0.8616269172645,0.0251755110646419,0.2290322580645161,0.0138060668913663,0.0260423034600806,0.5325881280990407,0.1478665347956028,0.8664802314368371,0.0246240553514397,0.3770491803278688,0.003329473074696,0.0066006600660066
II,46,6,0.625903933542628,0.08,199,0.5046497725826469,0.1396808484957229,0.8607323385850023,0.0208781627884533,0.2084534101825168,0.014065335753176,0.0263525411378954,0.5333628242952173,0.1484305449866521,0.8664802314368371,0.0246240553514397,0.3770491803278688,0.003329473074696,0.0066006600660066
III,42,9,0.2271466443072194,0.09,164,0.6460399496106768,0.2588028362788913,0.8436571766054648,0.2530284680440248,0.3901460165656221,0.296149857402126,0.3367110063008954,0.529732303385029,0.1416946761675866,0.8113018322082931,0.0077789168080406,0.1423478693417343,0.0828508010036672,0.1047398279753553
III,43,9,0.1967943971073348,0.09,195,0.6740375504831264,0.3331993402753533,0.8526290190901353,0.3054499823201039,0.4367088607594936,0.3443738656987296,0.3850837138508371,0.5340752196144475,0.1441691472842837,0.7317261330761813,0.0254286778408541,0.1508775428799361,0.2190214244354371,0.1786726499763816
III,44,9,0.2184938703940863,0.09,139,0.6619629551444588,0.2778593237340776,0.859907241744689,0.2830931866273296,0.4617396991497711,0.2745657246564688,0.3443622469717909,0.5303177223327066,0.1425917794919238,0.791321118611379,0.0171141494929697,0.1499642090193271,0.1213086276780544,0.1341229193341869
III,45,9,0.2206323262939485,0.1,156,0.6498005097593496,0.2872966167965233,0.8666035539960742,0.2849120235918091,0.5046703668607012,0.2416385792066372,0.3268025421871576,0.5375467556670074,0.1464389983911334,0.7740597878495661,0.0191118821150458,0.1498567474384499,0.1489094769349546,0.1493816104751071
III,46,9,0.2661603425869276,0.11,188,0.6751275090684947,0.3322339937349641,0.8769389775747364,0.3279378632922252,0.6010271224522549,0.2427404718693284,0.3458146728842513,0.5357428887240807,0.147287694391,0.8170363227258116,0.0301552316221714,0.1691755046185425,0.0954448948079521,0.1220384995064165
